Protein_id	Protein_description	Gene_name	hrp_1	hrp_2	h2o2_1	h2o2_2	t4_1	t4_2	t5_1	t5_2
M9PJN8;P07487	Glyceraldehyde-3-phosphate dehydrogenase;Glyceraldehyde-3-phosphate dehydrogenase 2	anon-WO0140519.132;Gapdh2	8.3696	8.7611	8.8335	8.8613	8.8827	8.8856	8.6017	8.4667
A0A0B4K6C3;Q9VHS2	Cytochrome c oxidase subunit 7A, isoform B;Cytochrome c oxidase subunit 7A, mitochondrial	CG9603-RA;COX7A	9.2283	9.0914	8.7702	8.7377	7.9828	8.0275	8.8864	8.9278
M9PH10;P46461	Vesicle-fusing ATPase;Vesicle-fusing ATPase 1	CG1618;comt	8.2678	8.715	8.8343	8.7933	8.8212	8.8542	8.5924	8.5772
A0A0A0RVF0;A0A0M4FHJ7;A0A0R7DUG9;A0A1S6KX53;A0A1S6KXB6;A0A1W6LRF7;A0A343ASW6;B6E0Q3;B6E0S9;B6E0W8;P18935;Q9ME01	Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b	;cytb;CYTB;mt:Cyt-b	8.387	8.7552	8.7484	8.7468	8.6462	8.7009	8.7033	8.537
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	anon-WO0140519.132;Gapdh1	8.2017	8.7462	8.7466	8.7148	8.7993	8.805	8.5629	8.6177
Q9W4Z2	60S ribosomal protein L23	mRpL14	8.5001	8.483	8.6508	8.6954	8.6414	8.6587	8.6625	8.7462
P54385	Glutamate dehydrogenase, mitochondrial	Gdh	8.4927	8.5596	8.7535	8.7438	8.6736	8.7149	8.4928	8.5359
A0A0B4KGI5;E1JIJ8	Carboxylic ester hydrolase;Carboxylic ester hydrolase	Ace	8.6353	8.6065	8.5722	8.5689	8.5301	8.6077	8.654	8.7316
X2J979	Synaptotagmin 1, isoform H	Syt1	8.4843	8.5282	8.6188	8.6128	8.6544	8.6972	8.576	8.5411
Q9W4A6	Otopetrin-like a, isoform A	CG42492-RC;OtopLa	7.8282	8.8105	8.711	8.7422	8.8509	8.894	8.4309	8.4295
A0A077HCQ5;A0A077HCY9;P00334	Alcohol dehydrogenase (Fragment);Alcohol dehydrogenase (Fragment);Alcohol dehydrogenase	;Adh	8.6015	8.5496	8.6106	8.5668	8.6353	8.6556	8.4803	8.4462
P91926	AP-2 complex subunit alpha	alpha-Adaptin-RB;AP-2alpha	8.2482	8.6794	8.6761	8.6631	8.6542	8.685	8.4315	8.4272
Q9VIE8	Aconitate hydratase, mitochondrial	mAcon1;mAcon2	8.6481	8.56	8.4875	8.4156	8.6487	8.5894	8.5203	8.5866
C4IY08;P02255;Q4AB54;Q4AB94;Q5BI49	FI07715p (Fragment);Histone H1;Histone H1;Histone H1;LD45862p (Fragment)	His1;His1:CG33801;His1:CG33807;His1:CG33834;His1:CG33852-RA;His1:CG33861	8.5907	8.4814	8.6005	8.5436	8.4051	8.5221	8.6315	8.6783
A0A0B4KHG5;A0A0B4KHK5;A0A0B4KHX5;A0A0B4KI35;E3CTQ1;F0JAG8;F0JAL7;P12024	Chaoptin, isoform C;Chaoptin, isoform F;Chaoptin, isoform D;Chaoptin, isoform E;RT10219p (Fragment);GH20134p;RT11146p (Fragment);Chaoptin	chp;chp-RA	8.4239	8.3688	8.4167	8.4691	8.8021	8.564	8.6834	8.7106
A0A0B4JCW4;A0A126GUR6;Q95U38;Q9VHJ8	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	CG11963-RB;ScsbetaA	8.5204	8.4135	8.6807	8.6228	8.5826	8.6238	8.3364	8.4111
Q7KN75	Dodeca-satellite-binding protein 1, isoform A	Dp1;Gasz	8.4813	8.5733	8.511	8.5851	8.4686	8.484	8.5272	8.4739
M9PDK5;Q9V3J1;Q9V3J1-2	V-type proton ATPase subunit H;V-type proton ATPase subunit H;V-type proton ATPase subunit H, Isoform B	VhaSFD	8.4352	8.5727	8.6843	8.6196	8.3676	8.4767	8.4568	8.4611
C0HL66;C0HL67	Histone H3.3A;Histone H3.3B	His3.3A;His3.3B	8.1158	8.5786	8.633	8.6632	8.6415	8.7053	8.3671	8.3682
Q9VM14	Dihydrolipoyllysine-residue acetyltransferase	CG5261;muc	8.2883	8.4902	8.5587	8.564	8.6406	8.6623	8.5084	8.3311
A0A0B4LFH8;E2QCF1;Q6AWP8;Q7KN85	ATP-citrate synthase;ATP-citrate synthase;ATP-citrate synthase;ATP-citrate synthase	ATPCL	8.4175	8.7328	8.7345	8.7394	8.2459	8.3134	8.3491	8.4783
M9PGH2;M9PGQ4;M9PJ56	Otopetrin-like a, isoform G;Otopetrin-like a, isoform D;Otopetrin-like a, isoform E	CG42492-RC;OtopLa	8.2422	8.5429	8.5254	8.5729	8.6739	8.7188	8.2782	8.3988
Q6IIG4	HDC18326	HDC18326	8.0772	8.9021	8.7711	8.8186	8.4396	8.4506	7.9724	NaN
D3YE81;Q2XST3;Q9V3N7	Collapsin response mediator protein;Dihydropyrimidinase mutant supA4;BcDNA.HL02693	CRMP;CRMP-RC	8.3011	8.498	8.4304	8.528	8.5044	8.5444	8.4833	8.496
A4V383;P91929	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	ND-42	7.9748	8.4569	8.6686	8.5981	8.6423	8.6879	8.4116	8.3291
Q94523	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SdhA	8.3177	8.6056	8.6124	8.6213	8.4122	8.5041	8.2846	8.3399
Q9VNH7	Uncharacterized protein, isoform A	BcDNA.GH02439;BcDNA:GH02439;CG2082-RB;Dmel\CG2082	8.1334	8.4809	8.538	8.5133	8.573	8.6374	8.3957	8.4051
Q9W141;Q9W141-2	Putative ATP synthase subunit f, mitochondrial;Putative ATP synthase subunit f, mitochondrial, Isoform B	ATPsynF;CG4692-RB	8.2583	8.4634	8.5244	8.4679	8.533	8.5757	8.4494	8.3776
A4V134;D1YSG7;D1YSG8;Q00168;Q00168-2;Q00168-3	Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase type II alpha chain;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 2;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 3	CaMKII;CG18069-RD	8.2869	8.4868	8.5781	8.5882	8.5827	8.6071	8.3407	8.1552
Q9W2M4	Uncharacterized protein	CG10527;Dmel\CG10527	8.6016	8.3642	8.1838	8.109	8.647	8.654	8.4797	8.5267
O62619;O62619-2	Pyruvate kinase;Pyruvate kinase, Isoform B	PyK	8.0771	8.6053	8.5938	8.5972	8.6128	8.6176	8.2931	8.1448
P05661-21;P05661-3	Myosin heavy chain, muscle, Isoform H;Myosin heavy chain, muscle, Isoform BABDB	CG9279;Dmel\CG9279;Mhc;Mhc-RB	7.8499	8.8022	8.3706	8.4653	8.5498	8.8693	8.3133	8.3038
Q94516	ATP synthase subunit b, mitochondrial	ATPsynB	8.3396	8.5105	8.3205	8.5551	8.6172	8.6749	8.1895	8.2914
A4V4F2;F2FB46;M9PHL7;M9PHT0;M9PJN2;O61492;O61492-2;O61492-3	Flotillin 2, isoform F;Flotillin 2, isoform K;Flotillin 2, isoform J;Flotillin 2, isoform I;Flotillin 2, isoform L;Flotillin-2;Flotillin-2, Isoform B;Flotillin-2, Isoform C	Flo2	8.1812	8.5225	8.712	8.6726	8.4475	8.1837	8.3989	8.3092
C6TP50;Q9W401;Q9W401-2	Citrate synthase (Fragment);Probable citrate synthase, mitochondrial;Probable citrate synthase, mitochondrial, Isoform B	kdn;kdn-RA	8.5471	8.2869	8.3663	8.2826	8.4058	8.4287	8.4863	8.5514
Q24036;Q59E30;Q95RI5	Failed axon connections protein;Failed axon connections, isoform C;Failed axon connections	fax;fax-RD	8.4055	8.3727	8.4918	8.5082	8.415	8.4775	8.3175	8.3367
A8JNP2;P48610-2;P48610-3;P48610-4	Arginine kinase;Arginine kinase, Isoform A;Arginine kinase, Isoform B;Arginine kinase, Isoform C	;Argk	8.6357	8.3336	8.2327	8.2766	8.5202	8.4704	8.3787	8.446
M9PBI5;M9PDQ0;M9PGV6;P13395	Alpha spectrin, isoform C;Alpha spectrin, isoform D;Alpha spectrin, isoform B;Spectrin alpha chain	alpha-Spec	8.6026	8.3418	8.265	8.2446	8.5586	8.5447	8.3658	8.3615
Q9U4G1	Protein borderless	bdl	8.5087	8.3467	7.8149	7.9771	8.5192	8.7825	8.5533	8.7559
M9NEL1;Q9VXF1	Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit 3	CanA-14F;PpD6	8.2197	8.4299	8.5447	8.4937	8.4368	8.464	8.3165	8.3376
Q8IPE8	Enoyl-CoA hydratase	Mtpalpha	8.3136	8.4824	8.4449	8.4773	8.4302	8.3113	8.4108	8.3547
Q94522	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	CG6255;Scsalpha1;Scsalpha2	8.4023	8.2926	8.3889	8.3506	8.4173	8.4495	8.4553	8.4677
A8JNX0;M9PIL3;Q9VNS2	ADP-ribosylation factor GTPase activating protein 3, isoform H;ADP-ribosylation factor GTPase activating protein 3, isoform G;ADP-ribosylation factor GTPase activating protein 3, isoform A	ArfGAP3	8.4754	8.5913	7.7874	8.4481	8.6049	8.584	8.4186	8.2933
B6IDT4;F3YDP2;H9ZJM9;P56079;X2JC55	Phosphatidate cytidylyltransferase;Phosphatidate cytidylyltransferase (Fragment);Phosphatidate cytidylyltransferase (Fragment);Phosphatidate cytidylyltransferase, photoreceptor-specific;Phosphatidate cytidylyltransferase	Cds;CdsA-RA	7.9309	8.5755	8.6051	8.4965	8.5666	8.5905	8.2756	8.1582
A8E775;P19107	RH02588p;Phosrestin-1	Arr2	8.1207	8.53	8.4853	8.5919	8.4724	8.4645	8.3281	8.1993
A0A0B4LFD9;Q8T3U2	40S ribosomal protein S23;40S ribosomal protein S23	RpS23	8.3104	8.4457	8.4423	8.4534	8.4145	8.3557	8.351	8.3904
A4V0B5;Q1RL12;Q24048;Q24048-2	Nervana 2, isoform F;IP16413p;Sodium/potassium-transporting ATPase subunit beta-2;Isoform 2.1 of Sodium/potassium-transporting ATPase subunit beta-2	nrv2	8.5194	8.1842	8.1677	8.1484	8.5265	8.5781	8.4056	8.6157
E1JIJ5;P31409	Vacuolar proton pump subunit B;V-type proton ATPase subunit B	Vha55	8.2416	8.386	8.5214	8.4571	8.4187	8.4816	8.3385	8.2952
P09180	60S ribosomal protein L4	;RpL4	8.1973	8.581	8.509	8.5612	8.4077	8.4428	8.2767	8.1224
CON__Q9NSB4	Keratin, type II cuticular Hb2	KRT82	8.9919	8.476	8.6041	8.3335	7.5333	8.0239	8.4974	8.5694
P12370	cAMP-dependent protein kinase catalytic subunit 1	;Dmel\CG12069;Pka-C1	8.0222	8.4558	8.5205	8.4887	8.515	8.5678	8.2484	8.2032
A4V4I0;P26308	G protein beta-subunit 13F, isoform C;Guanine nucleotide-binding protein subunit beta-1	Gbeta13F	8.2032	8.3084	8.3885	8.2321	8.5373	8.5196	8.3957	8.3776
M9NGG5;Q9W596	Futsch, isoform F;Microtubule-associated protein futsch	CG14772;futsch	8.4683	8.2266	8.1558	8.2016	8.5125	8.5334	8.3499	8.3679
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	alpha-KGDHC	7.9265	8.2967	8.4205	8.4923	8.6865	8.571	8.3406	8.0817
A0A0B4KFZ9;P84040	Histone H4;Histone H4	His4;His4r	8.3365	8.2181	8.283	8.3349	8.3701	8.4494	8.3343	8.3956
P02283	Histone H2B	His2B	8.3777	8.2141	8.3774	8.2891	8.2195	8.2861	8.3441	8.4341
O62530	Adaptor protein complex 2, mu subunit, isoform A	AP-2mu	8.0031	8.4298	8.4269	8.4112	8.3702	8.3815	8.215	8.2269
E1JJF8;E1JJF9;M9NEZ5;P20241;P20241-2	Neuroglian, isoform E;Neuroglian, isoform D;Neuroglian, isoform G;Neuroglian;Neuroglian, Isoform A	Nrg;Nrg-RC	8.6289	8.2079	7.936	7.9227	8.5005	8.5315	8.3173	8.3704
CON__P35908	Keratin, type II cytoskeletal 2 epidermal	KRT2;KRT74	8.8214	8.3824	8.4486	8.2371	7.6397	7.9262	8.4381	8.4905
P02299	Histone H3	His3	8.0096	8.3868	8.4241	8.3556	8.4088	8.444	8.1568	8.1644
A0A1B2AKQ4;P45594	GEO10457p1 (Fragment);Cofilin/actin-depolymerizing factor homolog	;tsr	8.3565	8.2601	8.223	8.3106	8.3593	8.3307	8.2181	8.2824
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SdhB;SdhBL	8.3331	8.1824	8.2068	8.1493	8.395	8.391	8.2814	8.3525
A1A6X4;O97118;Q0ZHI2;Q9W0A8	IP17216p (Fragment);Ribosomal protein L23a (Fragment);L23A ribosomal protein natural variant;FI01658p	RpL23a;RpL23A	8.0071	8.4813	8.3594	8.4412	8.3247	8.3643	8.2365	8.0731
Q9VEB1	Malate dehydrogenase	Mdh2	8.2226	8.2283	8.3306	8.2669	8.4186	8.4621	8.1747	8.1778
Q8T3P0;Q9VNX4	Multifunctional fusion protein;Multifunctional fusion protein	P5CDh1	8.1514	8.2693	8.4016	8.3672	8.2652	8.379	8.1298	8.2709
A4V1F9;H9BVD2;H9BVD3;H9BVD4;H9BVD5;H9BVD7;P0CG69;P15357;P18101;Q7JYK1;Q8IGR0;Q8MSM5;Q8MT02;Q9W418;R9PY16	Ubiquitin-63E, isoform C;Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;60S ribosomal protein L40;40S ribosomal protein S27a;AT20865p;GH17513p;GH17761p;Uncharacterized protein	;aru;RpL40;RpS27A;Ubi-p5E;Ubi-p5E5;Ubi-p63E	8.3666	8.2516	8.2443	8.1869	8.1951	8.2327	8.323	8.4017
A0A0B4KFZ4;O76137;Q95SQ6;Q9UAI4	Tetraspanin;Tetraspanin;GH07902p;Tetraspanin	TM4SF	8.0906	8.2445	8.4247	8.2776	8.2101	8.2817	8.32	8.3472
M9PD18;P48602	H(+)-transporting two-sector ATPase;V-type proton ATPase catalytic subunit A isoform 1	Vha68-1	8.2111	8.288	8.0495	8.2547	8.4464	8.4925	8.1533	8.1933
A0A0B4KFA6;A0A0B4KGE4;Q8SYR7;Q9VHX9	CD98 heavy chain, isoform D;CD98 heavy chain, isoform G;RE39378p;CD98 heavy chain, isoform A	CD98hc	8.2439	8.2456	8.1946	8.1853	8.3676	8.4002	8.1907	8.2522
M9PDV2;Q8MS10;Q9W441	Tetraspanin;Tetraspanin;Tetraspanin	Tsp5D	7.9594	8.3206	8.2515	8.265	8.3309	8.4006	8.2962	8.2105
X2J9Z3	Uncharacterized protein, isoform H	HDC02718;stol	8.411	8.0734	7.8414	7.9361	8.44	8.5317	8.349	8.4521
Q02645-2	Protein hu-li tai shao, Isoform B	hts;hts-RA;hts-RF	7.9704	8.1349	8.2764	8.2418	8.3062	8.3499	8.3133	8.4002
M9NFJ2;Q04499;Q04499-3	Proline dehydrogenase;Proline dehydrogenase 1, mitochondrial;Proline dehydrogenase 1, mitochondrial, Isoform B	slgA	8.1785	8.2206	8.3425	8.3361	8.2627	8.3187	8.2731	8.0554
Q9VD14	GH07286p	Dmel\CG13850	8.3377	8.2841	8.1982	8.2137	8.2232	8.2723	8.2152	8.2237
M9PDX8	Nervana 3, isoform E	nrv3	8.2218	8.0764	8.088	8.1151	8.4476	8.4286	8.2354	8.344
P29742;X2JC31	Clathrin heavy chain;Clathrin heavy chain	Chc	7.889	8.4271	8.3591	8.4026	8.3163	8.3383	8.1666	8.0511
Q9VW68	(S)-3-amino-2-methylpropionate transaminase	CG7433-RB;Gabat	8.4486	8.1011	8.1451	8.1293	8.2995	8.342	8.1923	8.2491
Q9W425	Rabconnectin-3A	Rbcn-3A	8.1289	8.3176	8.4088	8.3773	8.2069	8.0715	8.1859	8.1901
Q9VAC1	Acetyl-CoA deacylase	anon-WO0153538.36	8.3104	8.2251	8.2506	8.2144	8.2972	8.2962	8.1677	8.115
A0A0B4KH34;P22464-3	Annexin;Annexin B9, Isoform c	AnxB9	8.4764	8.1751	8.2615	8.1603	8.2152	8.1984	8.1277	8.2522
M9NFH8	Uncharacterized protein, isoform F	CG9674;CG9674-RB;Dmel\CG9674;GS	7.8844	8.2899	8.3376	8.3371	8.35	8.3829	8.1197	8.1032
Q9VB69	Malic enzyme	Men-b	7.8943	8.2787	8.3639	8.2597	8.2561	8.2741	8.1801	8.261
A0A0B4LHI9;C4IY03;Q8IGY2;Q8IMY7;Q8WQ81;Q9VCL9	Inwardly rectifying potassium channel 2, isoform D;FI04664p (Fragment);RE07647p (Fragment);Inwardly rectifying potassium channel 2, isoform B;Inwardly rectifying K+ channel protein;GH11459p	Irk2;Irk2-RB	8.2109	8.223	8.1597	8.2053	8.097	8.1649	8.3478	8.2436
Q9VVL7	Dihydrolipoyl dehydrogenase	E3	8.0237	7.9413	8.3376	8.3214	8.3627	8.406	8.094	8.1119
A8JRB8;A8JRC1;Q8MT18	MIP04243p;Uncharacterized protein, isoform D;RH49423p	Dmel\CG5028	8.2128	8.4786	8.4566	8.5078	7.9804	8.1447	7.9494	7.8645
O18332	FI01544p	Rab1	8.1188	8.2746	7.9016	8.4139	8.3636	8.343	8.1112	8.057
Q7K569	Glycerol-3-phosphate dehydrogenase	Gpo1	7.9878	8.2536	8.3303	8.3138	8.1553	8.2489	8.1819	8.104
Q24253	AP complex subunit beta	AP-1-2beta	7.9763	8.2103	8.1101	8.2457	8.3239	8.3522	8.1745	8.1274
Q7K5K3	Pyruvate dehydrogenase E1 component subunit beta	Pdhb	8.0661	8.3488	8.4688	8.4228	7.9905	8.1981	8.0437	7.9811
D0Z756;E1NZE3;Q7K2X5	MIP14966p;RT10125p (Fragment);GH01839p	CG14762-RA;Dmel\CG14762	8.2902	8.0767	8.35	8.4047	8.2272	8.2521	7.9322	7.9744
M9MRG0;M9PCP1;Q9U6A0;Q9U6A0-2;Q9U6A0-3;Q9U6A0-4	Nckx30C, isoform E;Nckx30C, isoform F;Sodium/potassium/calcium exchanger Nckx30C;Sodium/potassium/calcium exchanger Nckx30C, Isoform A;Sodium/potassium/calcium exchanger Nckx30C, Isoform E;Sodium/potassium/calcium exchanger Nckx30C, Isoform F	Nckx30C	8.0049	8.1878	8.1911	8.1827	8.2874	8.3245	8.1587	8.1621
Q9VGT0	UDP-glucuronosyltransferase	Ugt35B1	8.0227	8.4371	8.495	8.519	7.9671	8.0832	8.0003	7.9744
Q9VGF7	Glutamate carrier 1, isoform A	GC1;GC2	7.9194	8.2843	8.254	8.2464	8.3115	8.34	8.0801	8.0517
Q8IGA2;Q8INK3;Q9VGM2	SD12036p (Fragment);Fatty acid binding protein, isoform C;Fatty acid binding protein, isoform B	fabp	8.1092	8.117	8.2306	8.2403	8.2572	8.2314	8.1267	8.1549
E1JJF3;Q9V427	Innexin;Innexin inx2	Inx2	7.9422	8.1832	8.3655	8.2978	8.3635	8.3876	8.0978	7.8192
A0A6H2EG25;M9NET2	Terribly reduced optic lobes, isoform BC;Terribly reduced optic lobes, isoform AI	trol;trol-RE	8.3324	7.902	7.9707	7.8441	8.1551	8.0904	8.4685	8.6212
Q9V4E0	Complex I-49kD	ND-49	8.227	8.024	8.2899	8.1061	8.1295	8.215	8.1633	8.1983
A0A2Z1YXZ9;Q9W4P5	V-type proton ATPase subunit;V-type proton ATPase subunit d 1	cho;VhaAC39-1	7.7194	8.2909	8.2672	8.2805	8.2344	8.2649	8.1755	8.067
E1JJC0;M9NDL5;M9NE61;M9NES6;M9NFS1;Q9W4Y3	Terribly reduced optic lobes, isoform AH;Terribly reduced optic lobes, isoform AF;Terribly reduced optic lobes, isoform AR;Terribly reduced optic lobes, isoform AU;Terribly reduced optic lobes, isoform AQ;Terribly reduced optic lobes, isoform AT	trol;trol-RE	8.2634	7.9346	7.9837	7.8722	7.9937	8.0318	8.5819	8.6212
Q961J5	Beta-alanine transporter	Balat	8.0683	8.0376	8.5177	8.3971	8.2532	8.2967	7.7858	7.8202
Q0KIE7	Ankyrin, isoform B	Ank	7.8804	8.227	8.2221	8.2212	8.2072	8.2361	8.1438	8.0268
P16378;P16378-2	G protein alpha o subunit;G protein alpha o subunit, Isoform B	Galphao;HDC05603	8.187	8.5075	8.5019	8.4898	8.0295	7.9395	7.8431	7.6597
Q500Y7	GEO11443p1	UQCR-6.4	8.0229	8.0784	8.1942	8.1707	8.219	8.2213	8.1772	8.0685
M9PF16	Spectrin beta chain	beta-Spec;beta-Spec-RA	8.0858	8.0811	8.1096	8.05	8.2668	8.2945	8.1544	8.1076
Q9VQG0	LD21546p	Tnpo-SR	7.6751	8.2115	8.2048	8.2214	8.1583	8.1927	8.2133	8.2076
P10676	Neither inactivation nor afterpotential protein C	Dmel\CG9492;ninaC	7.9378	8.1831	8.0441	8.2078	8.2922	8.2364	8.0828	8.0914
A4UZZ4;Q9XTL9	Alpha-1,4 glucan phosphorylase;Glycogen phosphorylase	GlyP	7.9637	8.0678	8.2414	8.1938	8.1634	8.273	8.0601	8.1026
C6SUV6;O16797	LP14077p (Fragment);60S ribosomal protein L3	RpL3;RpL3-RA;RpL3-RB	7.8643	8.3308	8.2103	8.2795	8.1641	8.1774	8.0888	7.9444
A0A0B4LGZ0;A0A0B4LI11	Uncoordinated 115a, isoform E;Uncoordinated 115a, isoform F	unc-115-RA;unc-115-RC;Unc-115a;Unc-115b	8.1611	8.1869	8.1394	8.077	8.1508	8.1893	8.0464	8.0893
C7LA75;P11147	Heat shock protein cognate 4, isoform G;Heat shock 70 kDa protein cognate 4	;Hsc70-1;Hsc70-1-RA;Hsc70-4;Hsp70Aa;Hsp70Ab;Hsp70Ab-RA;Hsp70Ba;Hsp70Ba-RA;Hsp70Bb;Hsp70Bbb;Hsp70Bbb-RA;Hsp70Bc	8.2898	8.016	8.1149	8.1194	8.1844	8.1326	8.066	8.0999
A8DYL2;Q86P20	Uncharacterized protein, isoform G;RE18590p	CG13497;CG13498	7.9285	8.1633	8.1881	8.168	8.1879	8.2177	8.0627	8.0904
Q9VNE9	60S ribosomal protein L13a	RpL13A	7.8068	8.4376	8.3084	8.3519	8.2148	8.2454	7.8981	7.7167
Q9VKM3	ATP synthase subunit	ATPsynG	7.8876	8.2168	8.2426	8.2147	8.2818	8.2596	7.858	7.9355
