Protein_id	Protein_description	hrp_1	h2o2_1	hrp_2	h2o2_2	t4_1	t4_2	t5_1	t5_2
O18333	Rab2	8.0678	8.0044	7.9536	8.0229	7.989	7.9146	8.0353	7.9911
H0RNC4;Q6NN09	ATPsynC	8.3294	8.0385	8.2338	8.2022	8.4315	7.4678	8.3523	8.4626
P12370	Dmel\CG12069;Pka-C1	8.0435	8.0586	7.9907	7.9442	8.0362	7.8617	8.0548	7.9838
O77062	Eaat1	8.2161	8.1297	8.1219	8.1743	8.2012	7.677	8.1993	8.2192
Q9VHE5	RpL34a;RpL34b	8.124	8.0155	7.9277	8.0683	7.9437	7.9336	8.0573	7.9214
Q9VQC0	VGlut	8.1875	8.1273	8.0341	8.1494	8.2771	7.5849	8.2579	8.2698
M9PBL3	Hsp83	7.8833	7.8686	7.8875	7.8332	7.9832	7.8642	7.8982	7.7865
A1Z784	ACC	8.3004	8.405	8.2479	8.4532	7.9821	7.8634	8.0511	8.0531
P06603;P06605	alphaTub67C;alphaTub84B;alphaTub84D	8.0551	8.0424	7.9902	7.9474	7.9031	7.935	7.9201	7.8688
M9NE68	Hsp23	7.7496	7.7055	7.7009	7.7811	7.9289	7.902	7.8358	7.7003
P54385	Gdh	8.0321	8.1292	8.0022	8.0806	7.9016	7.9268	7.9237	7.9038
Q24212	stnB	7.9958	8.0995	7.999	7.9567	8.0236	7.8002	8.0897	8.0513
P10379	uzip	7.7967	7.3037	7.6833	7.4764	7.9488	7.8576	7.978	8.0758
P45594	tsr	8.0786	8.0833	8.0074	8.1243	8.0186	7.781	8.0365	8.0016
Q8IQI3;Q8T0E7	Dmel\CG10984	7.8189	7.9387	7.6596	7.8436	7.5531	8.236	7.6627	7.4611
P29742	Chc	8.1239	7.9932	7.9815	7.999	8.1443	7.629	8.144	8.1148
Q7YTZ0	Dmel\CG7888	7.7733	7.8758	7.8475	7.71	8.0082	7.7606	8.0561	8.0438
Q9VMV5	vkg	7.9286	7.7831	7.8786	7.7616	7.7916	7.9466	7.7579	7.9361
X2JAU8-7	nwk	7.3382	7.7728	7.8556	7.0618	7.885	7.852	7.8918	7.7335
P07764	Ald1	7.9918	8.0479	7.9483	8.0108	7.8185	7.9036	7.8735	7.8576
L0MQ04;Q05825	ATPsynbeta;ATPsynbetaL	7.8459	8.0475	7.8807	7.9942	7.8301	7.8861	7.8241	7.8385
Q7K1D7	Dmel\CG1358	8.1	7.9574	7.9617	7.9168	8.11	7.6051	8.0945	8.1476
A0A0B4LI13;P13678	Pkc98E	7.9888	7.9706	7.913	7.9638	7.9745	7.7392	8.0132	7.9384
M9PF16	beta-Spec	8.027	8.0246	7.9216	8.0261	8.0484	7.662	7.9927	7.9369
E1JHP3;Q0E8N3;Q9V9Q7;Q9V9Q9;X2JAM1;X2JEX4	nolo	7.783	7.6088	7.6575	7.6499	7.9082	7.7968	7.9681	8.0335
Q9VKM3	ATPsynG	8.1301	8.0642	8.0048	7.9746	8.0038	7.6982	8.0642	8.0741
P31409	Vha55	8.0145	8.0189	7.9024	7.9561	7.901	7.7897	7.9235	7.8721
M9NCQ1;Q9VQ52	CG15359;Dmel\CG31663	7.7986	7.2923	7.6827	7.5786	8.09	7.5974	8.0108	8.0581
Q01819;Q6AWM0	Con	7.7524	7.051	7.5156	7.259	7.9304	7.7359	8.0315	8.097
A0A0B4KFA6;A0A0B4KGE4;Q9VHX9	CD98hc	7.6855	7.4091	7.6792	7.4784	8.0071	7.6562	7.9586	7.9561
P25228	Rab3	8.0451	7.9906	7.9072	8.002	8.0621	7.5908	8.0679	8.1125
Q9VM14	muc	8.0157	8.048	7.9346	7.9948	7.8735	7.7761	7.9418	7.8866
Q9W2L6	Dmel\CG9394	7.83	7.3793	7.4969	7.4282	7.8955	7.7529	7.9521	8.1368
C7LA75	Hsc70-4	7.91	7.943	7.8332	7.9693	7.8378	7.8049	7.8705	7.8103
B7Z0Y2;M9NDY9;M9NH46;M9PER2;M9PH86;Q9VXL1;X2JE21	mmd	7.792	7.5044	7.6338	7.5042	7.9051	7.7361	7.9192	7.9513
Q9TVM2	emb	7.4587	7.7726	7.8316	7.3495	7.8109	7.8278	7.7671	7.6373
Q8SXX1	PIP4K	7.8142	7.9564	7.9575	7.7934	7.9325	7.7036	7.9755	7.9391
Q9VEB1	Mdh2	7.9962	8.0233	7.9369	7.991	7.808	7.8246	7.8442	7.8548
Q7KS16;Q9VC62	Esyt2	7.6298	7.5054	7.6321	7.4516	7.7568	7.8725	7.2541	7.2353
A8DZ29;O61380	eIF4G1	7.6595	7.6482	7.609	7.557	7.7119	7.9024	7.6312	7.3231
Q9W0D3	Dmel\CG13917	7.4702	7.6607	7.6332	7.7138	7.764	7.8369	7.7312	7.2066
Q9VGS3	SdhC	8.1458	8.0552	8.0932	8.0551	8.2171	7.3817	8.2158	8.1908
P25455;P25455-1;P25455-2;P25455-4;P25455-5	Plc21C	7.8205	7.9476	7.8571	7.8319	7.8972	7.6997	7.9334	7.901
Q9VAC1	anon-WO0153538.36	7.9677	7.9642	7.8498	7.9248	7.7845	7.8061	7.805	7.7329
O18640	Rack1	7.8713	7.9991	7.7886	8.0064	7.7704	7.8052	7.8582	7.7879
P40793	Cdc42	8.0133	7.8267	7.1131	7.9507	7.9893	7.5852	7.8257	7.1883
Q9V3G1	RpL8	8.0013	7.8234	7.7728	7.851	7.6569	7.9116	7.7197	7.5997
P02518	Hsp27	7.3981	7.7097	7.555	7.4568	7.7041	7.8594	7.736	7.6156
Q9VL16	Dmel\CG5676	8.1016	7.8977	7.9709	7.9043	8.2463	7.316	8.246	8.2267
Q9VAL5	Ptp99A	7.6857	7.5371	7.6185	7.5404	7.8484	7.7122	7.8943	7.9225
Q9V460	Spt5	7.9626	7.9166	7.8954	7.7321	7.9045	7.6544	7.9372	7.8994
P09180	RpL4	7.9661	7.8729	7.7726	7.8634	7.8217	7.7272	7.9205	7.79
O16797	RpL3	7.7826	7.7298	7.6936	7.8003	7.9291	7.618	7.9435	7.8655
Q9W2J0	CG15662	7.9542	8.0728	7.934	7.9884	7.8213	7.7218	7.8855	7.8395
Q07327	Rop	7.89	7.8112	7.7681	7.842	7.8856	7.6524	7.8228	7.7427
M9PCI8	tutl	7.2834	7.2799	7.5187	7.0822	7.863	7.6633	7.901	7.9636
E1JIQ1;Q94900;Q94900-3	GluClalpha	8.01	7.8549	7.8807	7.8698	8.0364	7.4821	8.0592	8.079
O18332	Rab1	7.8656	7.8283	7.8463	7.4878	7.8405	7.6777	7.8113	7.7812
M9NCR7;M9ND31;Q9VMP9	Oscillin	7.8776	7.8392	7.7652	7.8692	7.7969	7.7205	7.8661	7.8112
M9PDV2;Q9W441	Tsp5D	8.0235	7.8639	7.8816	7.9116	8.1102	7.4069	8.1169	8.1508
Q9VR25	fipi	7.6465	7.5355	7.5547	7.5627	7.7641	7.7479	7.7687	7.8206
Q9V9M7	RpL21	7.384	7.8216	7.8549	7.2919	7.7638	7.7477	7.8697	7.7395
Q9W0C3	Dmel\CG13928	7.7261	7.6742	7.6581	7.6863	7.6005	7.9004	7.5919	7.4955
M9PD08;Q9VK85	eRF3	7.7413	7.7333	7.655	7.6969	7.8142	7.6829	7.8465	7.7458
A0A0B4LGD3	kcc	7.8868	7.7314	7.67	7.7847	7.9512	7.5447	7.9669	7.9131
M9PB64;M9PB65;M9PCA8;M9PCG3;M9PCG7;M9PCU9;M9PF26;M9PF31;Q9VM04	Ziz	7.5203	7.8075	7.7094	7.5216	7.6641	7.8293	7.5469	7.4637
Q9VX90	CG34326;CG9059;Dmel\CG45002	7.6783	7.3715	7.5336	7.4932	7.8117	7.6784	7.8138	7.8589
Q59E30;Q95RI5	fax	7.8334	7.8492	7.7826	7.8896	7.8732	7.6092	7.8902	7.8315
Q9VGF7	GC1;GC2	8.2069	8.0316	8.044	7.811	7.8619	7.6193	8.0507	7.8697
Q9VIU8	Dmel\CG10132	7.7827	7.7528	7.7547	7.6876	7.8971	7.584	7.8734	7.8648
Q9VW71;X2JCN4	kug	7.5311	7.3835	7.6432	7.4459	7.7921	7.6824	7.8041	7.8505
P35875;P35875-2	Parp	7.5111	7.5075	7.4891	7.6912	7.4563	8.0082	7.4109	7.5094
Q9VPA1	CG13256;CG3116	7.7409	7.1531	7.5321	7.285	7.8949	7.5679	7.9302	7.9804
A0A0B4K631;A0A0B4K6V2	lap	7.8429	7.7767	7.8552	7.8392	7.6982	7.7592	7.6502	7.5613
Q9VLB7	Gdi	7.7891	7.8414	7.689	7.8284	7.6957	7.7539	7.6912	7.647
Q9VA91	RpS7	7.7268	7.6723	7.6627	7.7841	7.8201	7.6278	7.8559	7.762
A0A0B4JDD0;E1JIF4;Q8WTI8	Pif1A	8.2971	8.6131	8.2662	8.529	7.7654	7.6739	7.9526	7.9004
P48602	Vha68-1	7.7864	7.874	7.6992	7.8161	7.7187	7.7195	7.6916	7.6688
O17444	VAChT	7.7281	7.7748	7.6949	7.5265	7.9211	7.51	7.8636	7.8841
A4V4F2;M9PJN2	Flo2	7.7074	7.722	7.6493	7.5553	7.796	7.6327	7.8035	7.7709
Q8IR41;Q9VXX6	CG15028;Dmel\CG43737	7.5334	7.1709	7.1309	7.2879	7.8014	7.6215	7.7667	7.8397
M9PBI5;M9PDQ0;M9PGV6;P13395	alpha-Spec	7.9053	7.838	7.7704	7.8417	7.901	7.5124	7.8289	7.7669
A8DYL2	CG13498	7.5655	7.3109	7.5953	7.2403	7.8741	7.5291	7.9078	7.9715
Q9VMS1	cype	7.9435	8.0082	7.8601	7.9649	7.7906	7.6027	7.8223	7.7805
Q9VV75	UQCR-C2	7.8016	7.8989	7.8146	7.8011	7.5596	7.8289	7.6315	7.5841
Q9VC06	Dmel\CG11771	7.8792	7.8246	7.7775	7.86	7.6641	7.7244	7.6045	7.5131
P40792	Rac1	7.8012	7.7853	7.696	7.8182	7.8529	7.5331	7.8779	7.8559
X2J979	Syt1	7.8779	7.7501	7.7904	7.7575	7.8415	7.5388	7.8423	7.8606
Q9VM10	santa-maria	7.6389	7.5772	7.523	7.591	7.6596	7.7181	7.5953	7.6629
Q7KN85	ATPCL	7.7759	7.7544	7.7488	7.6806	7.7677	7.6098	7.7324	7.6865
A0A0B4K7A5	hts	7.85	7.8456	7.8595	7.6688	7.6973	7.6635	7.6573	7.8832
Q9W0B8	alphaCOP	7.6957	7.5987	7.6006	7.6728	7.7827	7.5775	7.7819	7.7372
Q94516	ATPsynB	7.9298	7.8248	7.7955	7.8504	7.8584	7.4954	7.8768	7.8634
Q9V7N5;Q9V7N5-2;Q9V7N5-3	Vha44	7.557	7.5546	7.6464	7.4347	7.7402	7.6132	7.4624	7.3235
Q9VNE9	RpL13A	7.7994	7.7611	7.703	7.8556	7.8409	7.4993	7.9274	7.8308
P25007	Cyp1;Dmel\CG7768	7.7921	7.8666	7.7459	7.8536	7.6313	7.7073	7.6836	7.654
M9PGF6	Fas2	7.8014	7.3584	7.6464	7.2953	7.7203	7.6181	7.6592	7.8193
P84040	His4:CG33909	7.8686	7.85	7.6269	7.8501	7.3618	7.9759	7.5058	7.4273
P46461	comt	7.854	7.8092	7.7974	7.7265	7.8492	7.4828	7.8843	7.8498
A4V4U5;M9NHG9	slgA	7.8313	7.782	7.7499	7.7756	7.7014	7.6248	7.6991	7.6611
Q9VEY5	Mic26-27	7.7692	7.7111	7.7365	7.4317	7.7134	7.6113	7.7231	7.7384
P20228	b;Gad1	7.6228	7.8614	7.725	7.6364	7.6618	7.6557	7.6964	7.6751
Q8IRI6-15	Glut1	7.9152	7.7872	7.7801	7.8397	7.9332	7.3795	7.9569	7.9821
Q9W3W8	RpL17	7.7325	7.687	7.6368	7.8006	7.6999	7.6122	7.7747	7.6721
Q9V3N7	CRMP	7.7033	7.7346	7.6659	7.6051	7.6538	7.6559	7.6153	7.561
D5AEK7;Q9VV51	Agpat3	7.7198	7.574	7.5909	7.6906	7.8063	7.5	7.8305	7.7879
G3M3A2	RpS3	7.7634	7.7722	7.7089	7.8531	7.8292	7.4673	7.9026	7.8237
Q24046	nrv1	7.5339	7.5732	7.4636	7.5395	7.6211	7.6599	7.4927	7.5848
Q9VXF1	CanA-14F	7.8146	7.7166	7.6669	7.7352	7.7573	7.5227	7.784	7.7211
P19107	Arr2	7.7922	7.8671	7.7746	7.797	7.722	7.5553	7.7939	7.8847
Q9VLT5	poe	7.7801	7.6925	7.6725	7.7065	7.8166	7.4602	7.8087	7.74
Q9V491	PlexA	7.6977	7.318	7.5006	7.516	7.8449	7.4246	7.8337	7.8506
Q9VES1	Arl6IP1	7.6048	7.5833	7.6108	7.6647	7.6579	7.6071	7.6587	7.6293
A0A0B4LGN1	Itpr	7.6965	7.6781	7.6058	7.7059	7.7361	7.5193	7.7488	7.7398
M9MS76;Q9VPA7	Pka-R1	7.6454	7.7276	7.5858	7.6439	7.6175	7.6359	7.5795	7.5259
M9NFH8	Dmel\CG9674;GS	7.895	7.871	7.7838	7.8647	7.8974	7.3552	7.944	7.9743
M9PDK5	VhaSFD	7.7965	7.7461	7.637	7.7801	7.7296	7.5166	7.7731	7.6846
Q9VJY6	RpL24	7.7771	7.7541	7.6597	7.786	7.6351	7.6109	7.727	7.6257
Q9W1W4	Dmel\CG9896	7.6659	7.1246	7.3591	7.3869	7.6985	7.5431	7.8426	7.9066
O01666	ATPsyngamma	7.8307	7.9115	7.7766	7.8543	7.6915	7.5435	7.7446	7.7688
M9PDH1;M9PE12;Q9W0T1;Q9W0T1-2	E(bx)	7.597	7.6539	7.5716	7.5658	7.6193	7.6099	7.6194	7.582
Q9VE46	ChT	7.505	7.6655	7.7019	7.333	7.7626	7.458	7.6102	7.7496
Q9VW68	Gabat	7.8448	7.8006	7.7805	7.6963	7.5699	7.6481	7.5592	7.5229
E1JIS1;Q0KI33	sp3	7.5609	7.5826	7.5706	7.5608	7.7217	7.4901	7.7109	7.7207
Q9V3I2	Rab5	7.7391	7.7407	7.631	7.8243	7.7865	7.4249	7.8025	7.7798
A0A0B4JCZ4;A0A126GV04	Syx1A	7.5748	7.4589	7.5579	7.3405	7.74	7.4633	7.9219	7.9265
Q9V427	Inx2	7.7832	7.6709	7.6622	7.6481	7.7815	7.4202	7.7738	7.8275
Q960M4	Prx5	7.7868	7.9675	7.7689	7.8809	7.5842	7.6172	7.5631	7.6102
Q9V8R9	cora	7.6058	7.5931	7.5267	7.6207	7.7033	7.4794	7.7141	7.73
Q9VXK7	ND-20	7.8293	7.807	7.7246	7.8233	7.8125	7.3694	7.8376	7.8456
Q9W3R0	rumpel	7.5599	7.5924	7.4001	7.5504	7.6059	7.5703	7.6546	7.6186
Q9V468;Q9V468-2	CG9776	7.2847	7.2137	7.4311	7.5902	7.2944	7.8807	7.25	7.2089
P91926;P91926-2	AP-2alpha	7.8022	7.8424	7.773	7.79	7.6817	7.4917	7.7315	7.686
P33438	Glt	6.9722	7.4793	7.4768	7.264	7.3849	7.7884	7.2611	7.4294
P13060	eEF2	7.68	7.5979	7.6307	7.6312	7.7091	7.4629	7.6617	7.4955
Q59E09;Q9VP61	AcCoAS	7.5067	7.7269	7.6197	7.4432	7.6829	7.4818	7.7221	7.7345
Q7KT58	CT18477	7.4564	7.2055	7.306	7.3622	7.6401	7.5214	7.6408	7.6104
Q9W596	futsch	7.7037	7.5707	7.5539	7.5994	7.806	7.3514	7.6362	7.5497
Q9W526	Dmel\CG16903	7.6487	7.8403	7.5958	7.8206	7.4285	7.7274	7.538	7.4897
A0A0B4K6C3;Q9VHS2	COX7A	7.6597	7.6241	7.566	7.5474	7.6155	7.5399	7.6332	7.5857
D1Z3A1	RpL28	7.5963	7.6831	7.59	7.6923	7.4942	7.6514	7.5555	7.5093
Q9VFS1	Adgf-D	7.4631	7.3182	7.4286	7.156	7.6027	7.5418	7.6578	7.6893
M9PDX6;M9PH44	promL	7.4112	7.0697	7.2014	6.9596	7.6936	7.449	7.7156	7.6868
Q9VFS6	omd	7.7714	7.8586	7.8045	7.6346	7.4355	7.7037	7.5032	7.4442
A0A0B4K686;A0A0B4K760;Q9VE20	CG31149;CT33918	7.5509	7.3358	7.5051	7.1018	7.8159	7.3202	7.8169	7.8449
Q9VNB9	RpL35A	7.6179	7.5849	7.4999	7.5727	7.5298	7.6057	7.5612	7.4805
P41042	RpS4	7.6164	7.6465	7.551	7.6508	7.5854	7.5493	7.6569	7.5464
Q9W0S7	Tudor-SN	7.5201	7.5316	7.3816	7.4962	7.5371	7.5972	7.515	7.3747
Q94522	Scsalpha1;Scsalpha2	7.7897	7.7551	7.6813	7.6611	7.5652	7.5691	7.5956	7.5484
Q0KIE7	Ank	7.5245	7.5623	7.5955	7.376	7.747	7.3693	7.692	7.6583
Q9VQM2	ND-B14.5B	7.8597	7.8492	7.7903	7.8102	7.539	7.5698	7.5749	7.5796
Q9W0A8	RpL23A	7.7808	7.6866	7.5999	7.717	7.4715	7.6373	7.5741	7.4948
A1Z843	Dmel\CG1371	7.5563	7.5298	7.5362	7.439	7.6568	7.4497	7.6671	7.6207
Q9VZL8	Fie	7.466	7.4674	7.3059	7.4765	7.5025	7.6037	7.5371	7.3731
P48375	Fkbp12	7.6993	7.7986	7.5457	7.6825	7.4717	7.634	7.561	7.4926
Q24253	AP-1-2beta	7.6543	7.6774	7.5979	7.6693	7.6062	7.4984	7.6269	7.5819
Q7YZA2	CG7065	7.9184	7.7548	7.7269	7.7951	7.7358	7.3688	7.6814	7.5823
Q9VNH7	BcDNA:GH02439;Dmel\CG2082	7.7291	7.609	7.5479	7.5929	7.6304	7.47	7.6416	7.6095
Q9VBX4	CG10057	7.2577	7.453	7.5304	7.2826	7.4193	7.6692	7.3462	7.2487
Q9VRL0	Cyt-c1	7.1839	7.5176	7.4105	7.1001	7.3652	7.7182	7.4004	7.3462
M9ND93;M9NFV3;M9PCJ5;M9PCK2;M9PFA8;M9PFJ2;M9PFP0;M9PI63;Q400N2	Plp	7.5563	7.4281	7.4295	7.4649	7.2061	7.8751	7.174	7.153
M9PDT6;M9PGG9;M9PH41;Q7KVW5;Q7KVW5-5;X2JAI8;X2JDR8	SK	7.1669	7.572	7.4806	7.5428	7.4608	7.6192	7.2567	6.6432
Q9NHE5-2	Cadps	7.6882	7.5604	7.5889	7.6025	7.7424	7.3372	7.7367	7.7183
A1Z9U2	jef	7.2534	7.5948	7.1956	6.9243	7.7028	7.3766	7.6583	7.6419
Q9VF33	alpha-Man-IIb	7.0297	7.4397	7.3386	7.5209	7.2728	7.806	7.3249	7.2479
