Protein_id	Protein_description	Gene_name	hrp_1	hrp_2	h2o2_1	h2o2_2	t4_1	t4_2	t5_1	t5_2
M9PEL1;Q07327	Ras opposite, isoform B;Protein ROP	Rop	8.1900	8.3204	8.4418	8.3329	8.4627	8.5471	8.2612	8.3127
A0A0A0RVF0;A0A0M4FHJ7;A0A0R7DUG9;A0A1S6KX53;A0A1S6KXB6;A0A1W6LRF7;A0A343ASW6;B6E0Q3;B6E0S9;B6E0W8;P18935;Q9ME01	Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b	;cytb;CYTB;mt:Cyt-b	8.3613	8.4808	8.4901	8.4364	8.1679	8.1889	8.3285	8.4131
A0A0B4KGI5;E1JIJ8	Carboxylic ester hydrolase;Carboxylic ester hydrolase	Ace	8.4646	8.3231	8.3106	8.2565	8.2085	8.2949	8.4013	8.5030
Q94516	ATP synthase subunit b, mitochondrial	ATPsynB	8.1479	8.2953	8.3661	8.3151	8.3300	8.3916	8.2554	8.3482
Q9W141;Q9W141-2	Putative ATP synthase subunit f, mitochondrial;Putative ATP synthase subunit f, mitochondrial, Isoform B	ATPsynF;CG4692-RB	7.9585	8.3853	8.3529	8.3776	8.4139	8.4732	8.0323	8.2806
Q86M57;Q8IML5;Q9XZ10	V-type proton ATPase subunit a;V-type proton ATPase subunit a;V-type proton ATPase subunit a	Vha100-1;Vha100-3	7.6693	8.4647	8.5366	8.4225	8.4707	8.5213	7.9572	8.2267
P21521;P21521-2;X2J4C1	Synaptotagmin 1;Synaptotagmin 1, Isoform B;Synaptotagmin 1, isoform I	Syt1	8.1385	8.2876	8.2868	8.3505	8.4260	8.4567	8.0956	8.2192
P91926	AP-2 complex subunit alpha	alpha-Adaptin-RB;AP-2alpha	7.9535	8.3595	8.4126	8.3782	8.3216	8.3399	8.2274	8.2178
A0A0B4KHG5;A0A0B4KHK5;A0A0B4KHX5;A0A0B4KI35;E3CTQ1;F0JAG8;F0JAL7;P12024	Chaoptin, isoform C;Chaoptin, isoform F;Chaoptin, isoform D;Chaoptin, isoform E;RT10219p (Fragment);GH20134p;RT11146p (Fragment);Chaoptin	chp;chp-RA	8.2848	8.0936	8.0654	8.1409	8.4209	8.3399	8.3903	8.4241
Q02645-2	Protein hu-li tai shao, Isoform B	hts;hts-RA;hts-RF	8.1216	8.2244	8.2157	8.1642	8.3323	8.3675	8.3140	8.3561
Q9VM14	Dihydrolipoyllysine-residue acetyltransferase	CG5261;muc	7.9441	8.2545	8.3269	8.2997	8.3600	8.3864	8.2193	8.1268
M9MRT6;P08645	Rap1 GTPase, isoform B;Ras-related protein Rap1	Rap1	8.6865	8.5128	8.5455	8.5585	7.7606	7.8124	7.8049	8.0920
O62619;O62619-2	Pyruvate kinase;Pyruvate kinase, Isoform B	PyK	7.7820	8.3216	8.3294	8.3172	8.3756	8.3906	8.1247	8.0475
A0A0B4LFH8;E2QCF1;Q6AWP8;Q7KN85	ATP-citrate synthase;ATP-citrate synthase;ATP-citrate synthase;ATP-citrate synthase	ATPCL	8.1123	8.5212	8.2285	8.4790	8.1872	8.0014	8.1582	7.9748
A4V134;D1YSG7;D1YSG8;Q00168;Q00168-2;Q00168-3	Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase type II alpha chain;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 2;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 3	CaMKII;CG18069-RD	7.9442	8.2409	8.1775	8.3583	8.3814	8.4252	8.0602	8.0706
P02299	Histone H3	His3	7.8418	8.3122	8.3130	8.2598	8.3283	8.3469	8.0474	8.1575
C4IY08;P02255;Q4AB54;Q4AB94;Q5BI49	FI07715p (Fragment);Histone H1;Histone H1;Histone H1;LD45862p (Fragment)	His1;His1:CG33801;His1:CG33807;His1:CG33834;His1:CG33852-RA;His1:CG33861	8.2277	8.0864	8.2427	8.1486	8.0593	8.1771	8.2455	8.3536
Q9I7S6;Q9VYJ0	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A;Phosphodiesterase	;CG3754;Pde9	8.1689	8.1027	8.3768	8.2574	8.0530	8.1194	8.1797	8.2605
M9PD54;M9PG27;M9PID8;Q9VP76;Q9Y1V0	Adenylate cyclase;Adenylate cyclase;Adenylate cyclase;Adenylyl cyclase 78C;Adenylate cyclase	Ac78C;Ac78C-RA	8.1742	8.1676	8.1854	8.2186	8.1981	8.2601	8.2423	8.0036
A0A077HCQ5;A0A077HCY9;P00334	Alcohol dehydrogenase (Fragment);Alcohol dehydrogenase (Fragment);Alcohol dehydrogenase	;Adh	8.0661	8.2052	8.2166	8.1760	8.2432	8.2804	8.0499	8.2018
A0A0B4KFZ9;P84040	Histone H4;Histone H4	His4;His4r	8.0501	8.0489	8.2327	8.1922	8.2151	8.3084	8.1251	8.2064
Q24036;Q59E30;Q95RI5	Failed axon connections protein;Failed axon connections, isoform C;Failed axon connections	fax;fax-RD	8.1092	8.1712	8.2782	8.2705	8.2432	8.2975	7.9441	8.0187
Q9VIE8	Aconitate hydratase, mitochondrial	mAcon1;mAcon2	8.2281	8.1526	8.0601	8.0660	8.2810	8.3394	8.1200	8.0756
Q9W2M4	Uncharacterized protein	CG10527;Dmel\CG10527	8.3259	8.0997	7.9766	7.8663	8.2847	8.2966	8.2141	8.2571
M9PDK5;Q9V3J1;Q9V3J1-2	V-type proton ATPase subunit H;V-type proton ATPase subunit H;V-type proton ATPase subunit H, Isoform B	VhaSFD	8.1058	8.1335	8.2284	8.2088	8.1801	8.2397	8.0952	8.0981
E1JIJ5;P31409	Vacuolar proton pump subunit B;V-type proton ATPase subunit B	Vha55	7.9800	8.1201	8.2691	8.2278	8.1553	8.2416	8.1561	8.1384
A8E775;P19107	RH02588p;Phosrestin-1	Arr2	7.8687	8.2924	8.2643	8.3728	8.1807	8.2200	8.0175	8.0355
M9MRX4	Ankyrin 2, isoform U	Ank2;Ank2-RH;Ank2-RN	8.0718	8.0802	8.1120	8.1120	8.2470	8.2767	8.1564	8.1589
P12370	cAMP-dependent protein kinase catalytic subunit 1	;Dmel\CG12069;Pka-C1	7.8211	8.1979	8.2399	8.2631	8.2701	8.3289	8.0462	8.0472
O62530	Adaptor protein complex 2, mu subunit, isoform A	AP-2mu	7.9453	8.2589	8.2424	8.2639	8.2160	8.2321	7.9990	7.9808
A0A0B4JCW4;A0A126GUR6;Q95U38;Q9VHJ8	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	CG11963-RB;ScsbetaA	8.0629	8.0744	8.3056	8.2768	8.2116	8.2594	7.9520	7.9872
M9NGG5;Q9W596	Futsch, isoform F;Microtubule-associated protein futsch	CG14772;futsch	8.2343	7.9927	7.9114	7.9893	8.2922	8.3191	8.1595	8.1363
X2J9Z3	Uncharacterized protein, isoform H	CG4587-RB;HDC02718;stol	8.4718	7.9854	7.6069	7.8379	8.1470	8.2501	8.3291	8.3811
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	anon-WO0140519.132;Gapdh1	7.6406	8.2515	8.2571	8.2619	8.3367	8.3361	8.0044	7.8780
A8JNP2;P48610-2;P48610-3	Arginine kinase;Arginine kinase, Isoform A;Arginine kinase, Isoform B	Argk	8.3039	8.0334	7.9834	7.9930	8.1462	8.1429	8.0924	8.2165
E1JJF8;E1JJF9;M9NEZ5;P20241;P20241-2	Neuroglian, isoform E;Neuroglian, isoform D;Neuroglian, isoform G;Neuroglian;Neuroglian, Isoform A	Nrg;Nrg-RC	8.4071	8.0125	7.7957	7.7062	8.2928	8.3250	8.1066	8.1672
A4V4U5;M9NHG9;Q04499-2;Q04499-5	Proline dehydrogenase;Proline dehydrogenase;Proline dehydrogenase 1, mitochondrial, Isoform A;Proline dehydrogenase 1, mitochondrial, Isoform E	slgA	7.5926	8.0739	8.2647	8.2368	8.2263	8.2938	7.9962	8.0969
Q9VVL7	Dihydrolipoyl dehydrogenase	E3	7.9343	7.9766	8.1863	8.2179	8.2396	8.0979	7.9286	8.1343
A1A6X4;O97118;Q0ZHI2;Q9W0A8	IP17216p (Fragment);Ribosomal protein L23a (Fragment);L23A ribosomal protein natural variant;FI01658p	RpL23a;RpL23A	7.7896	8.2864	8.1443	8.1900	8.0964	8.1533	8.0162	7.9222
CON__P35908	Keratin, type II cytoskeletal 2 epidermal	KRT2;Krt71;KRT71;Krt72;KRT72;Krt73;KRT73;KRT74;KRT77	8.5821	8.1513	8.1901	8.0078	7.4266	7.7139	8.1992	8.2633
Q94522	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	CG6255;Scsalpha1;Scsalpha2	8.1015	7.9631	7.9889	8.0548	8.0866	8.1598	8.0454	8.1284
Q7KN75	Dodeca-satellite-binding protein 1, isoform A	Dp1	7.9691	8.2248	8.1746	8.1942	8.0999	8.1358	7.8826	7.8413
M9NEL1;Q9VXF1	Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit 3	CanA-14F	7.8735	8.1308	8.2452	8.2472	8.1434	8.1772	7.8169	7.7945
A0A0B4KFZ4;O76137;Q95SQ6;Q9UAI4	Tetraspanin;Tetraspanin;GH07902p;Tetraspanin	TM4SF	7.7118	8.0986	8.2030	8.1826	7.9940	8.0402	7.9955	8.1601
D3YE81;Q2XST3;Q9V3N7	Collapsin response mediator protein;Dihydropyrimidinase mutant supA4;BcDNA.HL02693	CRMP;CRMP-RC	7.9379	7.9758	8.0935	8.1182	8.1188	8.1716	7.9471	7.9917
A4V0B5;Q1RL12;Q24048;Q24048-2	Nervana 2, isoform F;IP16413p;Sodium/potassium-transporting ATPase subunit beta-2;Isoform 2.1 of Sodium/potassium-transporting ATPase subunit beta-2	nrv2	8.1234	7.9254	7.7860	7.8439	8.1914	8.2557	8.0300	8.1883
A0A6H2EG25;E1JJC0;M9NDL5;M9NDM1;M9NE61;M9NES6;M9NET2;M9NFS1;M9NGK3;M9NGL3;Q8IRV8;Q8IRV9;Q9W4Y3;Q9W4Y4;X2JCE8;X2JDK9	Terribly reduced optic lobes, isoform BC;Terribly reduced optic lobes, isoform AH;Terribly reduced optic lobes, isoform AF;Terribly reduced optic lobes, isoform AP;Terribly reduced optic lobes, isoform AR;Terribly reduced optic lobes, isoform AU;Terribly reduced optic lobes, isoform AI;Terribly reduced optic lobes, isoform AQ;Terribly reduced optic lobes, isoform AL;Terribly reduced optic lobes, isoform AM;Terribly reduced optic lobes, isoform AO;Terribly reduced optic lobes, isoform AW;Terribly reduced optic lobes, isoform AT;Terribly reduced optic lobes, isoform AN;Terribly reduced optic lobes, isoform BA;Terribly reduced optic lobes, isoform AS	trol;trol-RE	8.1788	7.9088	7.7375	7.6780	7.9799	8.0217	8.3876	8.4463
Q9VNH7	Uncharacterized protein, isoform A	BcDNA:GH02439;CG2082-RB;Dmel\CG2082	7.4744	8.1529	8.1105	8.1520	8.2237	8.2911	8.1179	7.8019
M9PBI5;M9PDQ0;M9PGV6;P13395	Alpha spectrin, isoform C;Alpha spectrin, isoform D;Alpha spectrin, isoform B;Spectrin alpha chain	alpha-Spec	8.1873	7.9828	7.8820	7.8571	8.1544	8.1411	8.0111	8.0041
M9PDV2;Q8MS10;Q9W441	Tetraspanin;Tetraspanin;Tetraspanin	Tsp5D	7.9302	8.0365	8.0011	8.0531	8.0156	8.1051	8.0835	7.9574
A4V4I0;P26308	G protein beta-subunit 13F, isoform C;Guanine nucleotide-binding protein subunit beta-1	Gbeta13F	7.8786	7.9878	8.0376	7.9527	8.1843	8.1713	7.9656	7.9713
E1JJF3;Q9V427	Innexin;Innexin inx2	Inx2	7.6750	8.1931	7.9180	8.1476	8.1215	8.2154	7.8920	7.8469
Q9VEB1	Malate dehydrogenase	Mdh2	7.9437	7.9240	8.0240	7.9669	8.1197	8.1522	7.9029	7.9156
A8Y560;O17445	Ribosomal protein L15;60S ribosomal protein L15	RpL15	7.9221	8.1220	8.0082	8.0509	7.9272	7.9228	7.9138	8.0292
D0Z756;E1NZE3;Q7K2X5	MIP14966p;RT10125p (Fragment);GH01839p	CG14762-RA;Dmel\CG14762	8.2125	7.9138	7.9936	7.8762	8.0496	8.0847	7.7009	8.0625
Q8T3P0;Q9VNX4	Multifunctional fusion protein;Multifunctional fusion protein	P5CDh1	7.9065	8.0152	8.2347	8.1502	7.8629	7.9867	7.8486	7.8720
A0A0B4LFD9;Q8T3U2	40S ribosomal protein S23;40S ribosomal protein S23	RpS23	7.7352	8.1650	8.1038	8.1360	8.0421	8.0061	7.9660	7.7082
D2NUH9;H1ZYF1;P29327	40S ribosomal protein S6 (Fragment);40S ribosomal protein S6;40S ribosomal protein S6	RpS6;RpS6-RB	7.7697	8.1719	8.0746	8.1086	8.0344	8.0299	7.9107	7.7288
Q9VR25	Factor of interpulse interval	fipi	7.9696	7.9001	8.1414	7.9624	8.0850	8.1556	7.6693	7.8832
A8JRB8;A8JRC1;Q8MT18	MIP04243p;Uncharacterized protein, isoform D;RH49423p	Dmel\CG5028	8.0224	8.0899	8.0627	8.1214	7.8028	7.8826	7.6741	7.9523
B7Z0W9;B7Z0W9-3	Proton channel OtopLc;Proton channel OtopLc, Isoform F	OtopLc	7.8085	7.9864	8.0855	8.1195	7.9131	7.9800	7.8654	7.8199
Q8IPE8	Enoyl-CoA hydratase	Mtpalpha	7.7595	7.9963	7.9978	7.9949	7.9867	8.0381	7.8653	7.8104
P29742;X2JC31	Clathrin heavy chain;Clathrin heavy chain	Chc	7.6617	8.1073	8.0571	8.0590	7.9973	8.0110	7.8265	7.7184
Q9VM11	HL01515p	Dmel\CG5973	7.8290	8.4354	8.4892	8.5221	7.9435	6.9634	7.3277	7.8890
A0A1B2AKQ4;P45594	GEO10457p1 (Fragment);Cofilin/actin-depolymerizing factor homolog	;tsr	8.0333	7.9134	7.8287	7.9048	7.9993	7.9498	7.8386	7.9239
Q9V4E0	Complex I-49kD	ND-49	8.0193	7.9027	7.9887	7.8254	7.8582	7.9138	7.8703	7.9994
Q500Y7	GEO11443p1	UQCR-6.4	7.8931	7.9004	7.9068	7.8865	7.9338	7.9559	7.9215	7.9611
M9PF16;Q00963	Spectrin beta chain;Spectrin beta chain	beta-Spec;beta-Spec-RA	7.8858	7.8454	7.8925	7.8371	8.0006	8.0349	7.9224	7.9206
A0A0B4LGZ0;A0A0B4LI11;A0A126GUR5;E8NH01;E8NH19;Q8INN5;Q8INN7;Q95V19	Uncoordinated 115a, isoform E;Uncoordinated 115a, isoform F;Uncoordinated 115b, isoform F;AT12805p;AT02731p (Fragment);Uncoordinated 115b, isoform B;Uncoordinated 115b, isoform D;DUNC-115s	unc-115-RA;unc-115-RC;Unc-115a;Unc-115b	7.8969	7.8939	7.7754	7.8626	7.9228	7.9290	8.0488	7.9734
A4V1F9;H9BVD2;H9BVD3;H9BVD4;H9BVD5;H9BVD7;P0CG69;P15357;P18101;Q24576;Q24577;Q27927;Q7JPZ2;Q7JPZ3;Q7JYK1;Q8IGR0;Q8MSM5;Q8MT02;Q9W418;R9PY16	Ubiquitin-63E, isoform C;Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin (Fragment);Polyubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;D.melanogaster ubiquitin (Fragment);D.melanogaster ubiquitin (Fragment);D.melanogaster ubiquitin (Fragment);D.melanogaster ubiquitin (Fragment);D.melanogaster ubiquitin (Fragment);60S ribosomal protein L40;40S ribosomal protein S27a;AT20865p;GH17513p;GH17761p;Uncharacterized protein	;aru;RpL40;RpS27A;Ubi-p5E;Ubi-p5E5;Ubi-p63E	7.9699	7.9682	7.8667	7.8098	7.9075	7.9777	7.8127	7.9651
A0A0B4KEE4;A1Z6Q1	Klaroid, isoform A;Klaroid, isoform B	koi;koi-RA	8.2343	8.3442	8.3333	8.1676	7.0402	7.4994	7.5536	8.1050
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	alpha-KGDHC	7.2965	8.0260	7.7644	8.1130	8.1342	8.2755	7.8583	7.7938
A0A0B4KFA6;A0A0B4KGE4;Q8SYR7;Q9VHX9	CD98 heavy chain, isoform D;CD98 heavy chain, isoform G;RE39378p;CD98 heavy chain, isoform A	CD98hc	7.8068	7.8478	7.8494	7.8147	8.0585	8.0789	7.8733	7.9151
A4UZZ4;Q9XTL9	Alpha-1,4 glucan phosphorylase;Glycogen phosphorylase	GlyP	7.5680	7.9195	8.0936	8.0241	7.9958	7.9229	7.8530	7.8609
Q24253	AP complex subunit beta	AP-1-2beta	7.8117	7.9463	7.9565	7.9956	7.8744	7.9298	7.8762	7.8429
Q9VGF7	Glutamate carrier 1, isoform A	GC1;GC2	7.6682	8.0239	8.0180	7.9514	8.0161	8.0511	7.7748	7.7186
P02283	Histone H2B	His2B	7.9777	7.7917	7.9432	7.8767	7.8280	7.8932	7.9177	7.9887
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SdhB;SdhBL	7.9965	7.7774	7.8677	7.8152	7.9704	8.0031	7.8024	7.8560
Q9VB69	Malic enzyme	Men-b	7.5970	8.0803	8.0807	8.0968	7.6918	7.8475	7.8364	7.8242
P13060	Eukaryotic translation elongation factor 2	eEF2	7.6022	8.0459	7.9592	8.0099	7.9507	7.9712	7.7501	7.7459
O01666	ATP synthase subunit gamma, mitochondrial	ATPsyngamma	7.7232	7.9205	8.0685	8.0473	7.9275	7.9738	7.7062	7.6659
P22700-2	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type, Isoform A	SERCA	7.1266	7.9041	8.0378	8.0365	8.1438	8.1807	7.8903	7.6865
Q9VNE9	60S ribosomal protein L13a	RpL13A	7.7025	8.1072	7.9626	8.0390	7.9057	7.9321	7.6728	7.6577
A0A0B4K6W2;A0A0B4K7S0;P55824;P55824-3	Ubiquitinyl hydrolase 1;Ubiquitinyl hydrolase 1;Probable ubiquitin carboxyl-terminal hydrolase FAF;Probable ubiquitin carboxyl-terminal hydrolase FAF, Isoform 3	faf	7.8851	7.9232	7.9044	7.9041	7.7531	7.7919	7.8783	7.9117
B7Z061;Q7KNR7;Q8IQN8;Q9VV42	Photoreceptor dehydrogenase, isoform D;Photoreceptor dehydrogenase, isoform C;Photoreceptor dehydrogenase, isoform B;HL08057p	Pdh	7.6537	8.0785	7.4811	8.0881	8.0747	8.0642	7.7683	7.7201
C7LA75;P11147	Heat shock protein cognate 4, isoform G;Heat shock 70 kDa protein cognate 4	;Hsc70-1;Hsc70-1-RA;Hsc70-4;Hsp70Aa;Hsp70Ab;Hsp70Ab-RA;Hsp70Ba;Hsp70Ba-RA;Hsp70Bb;Hsp70Bbb;Hsp70Bbb-RA;Hsp70Bc	8.0412	7.7888	7.7571	7.7900	7.9055	7.8719	7.8657	7.8873
Q9VAC1	Acetyl-CoA deacylase	anon-WO0153538.36	7.7954	7.9640	7.6241	7.8792	8.0045	8.0272	7.8270	7.7733
O18332	FI01544p	Rab1	7.6854	8.1483	7.3716	7.8978	8.0717	8.0545	7.8298	7.8098
A0A0B4LI13;P13678	Protein kinase C;Protein kinase C	Pkc98E	7.6489	7.9073	7.9085	7.9265	7.8169	7.8535	7.9222	7.8528
Q7KSQ0	LD46175p	sea	7.4779	7.8596	7.9431	7.9662	7.9811	8.0381	7.8055	7.7194
Q0KI25;Q6NNV4	Uncharacterized protein, isoform B;RE71243p	CG13825;CG4467;CG4467-RA;Dmel\CG4467	7.5166	7.7074	7.6239	7.7157	8.1326	8.1546	7.9389	7.9963
Q9VAJ9	SD09259p	Dmel\CG1907	7.5555	8.0662	8.2429	8.2249	7.9023	7.6866	7.5252	7.5778
A0A0B7P9G0	Unextended, isoform E	uex	7.8136	7.9294	7.8993	7.9045	7.8538	7.9036	7.6430	7.8261
P41374;X2JFR6	Eukaryotic translation initiation factor 2 subunit 1;Eukaryotic translation initiation factor 2 subunit 1	eIF2alpha	7.8968	7.9565	7.6231	8.0721	7.9408	7.9305	7.7533	7.5845
Q7K5K3	Pyruvate dehydrogenase E1 component subunit beta	Pdhb	7.8392	7.9276	8.0566	8.0648	7.6640	7.8272	7.5181	7.7887
C6SUW3;P55935	40S ribosomal protein S9;40S ribosomal protein S9	RpS9	7.5728	8.0250	7.9944	8.0059	7.9086	7.9160	7.7113	7.5425
Q9VBP6	Succinate-semialdehyde dehydrogenase	Ssadh	8.0245	7.7627	7.8437	7.8642	7.8246	7.8371	7.7281	7.7543
Q7K188	Protein quiver	Dmel\CG6329	8.0454	7.6499	7.7221	7.5948	7.8572	7.8999	7.8575	7.9999
A4V4F2;F2FB46;M9PHL7;M9PHT0;M9PJN2;O61492;O61492-2;O61492-3	Flotillin 2, isoform F;Flotillin 2, isoform K;Flotillin 2, isoform J;Flotillin 2, isoform I;Flotillin 2, isoform L;Flotillin-2;Flotillin-2, Isoform B;Flotillin-2, Isoform C	Flo2	7.7410	7.8362	8.0069	7.9935	7.8508	7.8891	7.6613	7.6242
C0HL66;C0HL67	Histone H3.3A;Histone H3.3B	His3.3A;His3.3B	7.4706	7.8433	7.9265	7.9160	7.9202	8.0035	7.8326	7.6505
Q9VWV4	GH28326p	24643014;45555989;CG32549-RA;CG6247	7.7349	8.0107	7.8834	8.0555	7.6334	7.7216	7.7467	7.7718
P54399;X2JGP4	Protein disulfide-isomerase;Protein disulfide-isomerase	Pdi	8.1355	7.8651	7.7952	7.7933	7.7438	7.7569	7.7517	7.7157
Q9W4A6	Otopetrin-like a, isoform A	CG42492-RC;OtopLa	7.5315	7.9555	7.8220	7.9061	8.0016	8.0416	7.6506	7.6112
E1JHR5;P15007;P15007-2	2-phospho-D-glycerate hydro-lyase;Enolase;Enolase, Isoform A	Eno	8.0296	7.7614	7.9500	7.8470	7.7787	7.7414	7.6649	7.7440
Q0KIE7;Q24241	Ankyrin, isoform B;Ankyrin	Ank	7.6982	7.9043	7.8533	7.8831	7.8538	7.8802	7.7073	7.7231
Q86P76;Q9VQC0	RH74545p;Vesicular glutamate transporter, isoform A	VGlut	7.6457	7.8459	7.9503	7.9220	7.8054	7.8353	7.7353	7.7541
A4V3Q6;P05303	Elongation factor 1-alpha;Elongation factor 1-alpha 2	eEF1alpha2	7.6944	7.8324	7.9284	7.9210	7.8080	7.8405	7.6727	7.7963
A0A2Z1YXZ9;Q9W4P5	V-type proton ATPase subunit;V-type proton ATPase subunit d 1	cho;VhaAC39-1	7.4665	7.9762	7.8458	7.9333	7.8983	7.9224	7.9302	7.4399
Q9VGT0	UDP-glucuronosyltransferase	Ugt35B1	7.6348	7.9736	7.9899	8.0153	7.6164	7.7315	7.6872	7.7562
Q9VW68	(S)-3-amino-2-methylpropionate transaminase	CG7433-RB;Gabat	8.0229	7.7119	7.8156	7.7415	7.7957	7.8344	7.7229	7.7510
