Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	14754	C:98.2%[S:96.0%,D:2.2%],F:0.5%,M:1.3%,n:3285	Outlier (high value)
UP000001073	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	40414	C:92.3%[S:57.2%,D:35.1%],F:2.2%,M:5.5%,n:13780	Standard
UP000001074	Myotis lucifugus (Little brown bat)	59463	20651	C:88.7%[S:83.5%,D:5.2%],F:2.8%,M:8.5%,n:12234	Standard
UP000001075	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	10029	23885	C:62.0%[S:61.5%,D:0.5%],F:10.2%,M:27.8%,n:13798	Outlier (high value)
UP000001292	Drosophila sechellia (Fruit fly)	7238	16138	C:92.7%[S:91.8%,D:0.8%],F:3.6%,M:3.8%,n:3285	Outlier (high value)
UP000001307	Oikopleura dioica (Tunicate)	34765	17050	C:66.2%[S:63.6%,D:2.6%],F:6.3%,M:27.5%,n:954	Unknown
UP000001519	Gorilla gorilla gorilla (Western lowland gorilla)	9595	44723	C:95.9%[S:54.2%,D:41.7%],F:1.3%,M:2.8%,n:13780	Outlier (high value)
UP000001555	Ixodes scapularis (Black-legged tick) (Deer tick)	6945	20487	C:86.8%[S:85.1%,D:1.7%],F:5.9%,M:7.3%,n:2934	Outlier (high value)
UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	24435	C:89.7%[S:87.9%,D:1.8%],F:4.8%,M:5.5%,n:954	Unknown
UP000001595	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	39491	C:97.1%[S:61.3%,D:35.8%],F:0.5%,M:2.4%,n:13780	Standard
UP000001645	Meleagris gallopavo (Wild turkey)	9103	28236	C:87.5%[S:55.7%,D:31.8%],F:5.2%,M:7.3%,n:8338	Outlier (high value)
UP000001646	Anolis carolinensis (Green anole) (American chameleon)	28377	32752	C:86.3%[S:58.8%,D:27.5%],F:3.3%,M:10.4%,n:7480	Unknown
UP000001811	Oryctolagus cuniculus (Rabbit)	9986	41458	C:84.8%[S:45.3%,D:39.4%],F:2.3%,M:12.9%,n:13798	Outlier (high value)
UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	22219	C:99.8%[S:64.9%,D:34.9%],F:0.1%,M:0.1%,n:3285	Outlier (high value)
UP000002254	Canis lupus familiaris (Dog) (Canis familiaris)	9615	59101	C:96.3%[S:47.3%,D:49.0%],F:0.5%,M:3.2%,n:14502	Outlier (high value)
UP000002277	Pan troglodytes (Chimpanzee)	9598	48769	C:97.8%[S:50.3%,D:47.5%],F:0.5%,M:1.7%,n:13780	Outlier (high value)
UP000002279	Ornithorhynchus anatinus (Duckbill platypus)	9258	32824	C:85.6%[S:50.3%,D:35.2%],F:2.6%,M:11.8%,n:9226	Standard
UP000002280	Monodelphis domestica (Gray short-tailed opossum)	13616	36220	C:87.4%[S:53.1%,D:34.3%],F:2.2%,M:10.4%,n:9226	Standard
UP000002281	Equus caballus (Horse)	9796	44484	C:98.2%[S:50.2%,D:48.0%],F:0.4%,M:1.4%,n:12234	Outlier (high value)
UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	18820	C:0.6%[S:0.6%,D:0.0%],F:0.0%,M:99.4%,n:3285	Outlier (high value)
UP000002356	Ovis aries (Sheep)	9940	23084	C:94.5%[S:84.2%,D:10.3%],F:2.0%,M:3.5%,n:13335	Outlier (high value)
UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	24858	C:96.2%[S:43.6%,D:52.6%],F:0.5%,M:3.3%,n:5991	Outlier (high value)
UP000002852	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	8083	35279	C:92.5%[S:62.9%,D:29.6%],F:1.5%,M:6.0%,n:15213	Outlier (high value)
UP000005203	Apis mellifera (Honeybee)	7460	19065	C:98.9%[S:51.5%,D:47.3%],F:0.3%,M:0.8%,n:5991	Outlier (high value)
UP000005205	Atta cephalotes (Leafcutter ant)	12957	10634	C:95.3%[S:93.9%,D:1.5%],F:2.5%,M:2.2%,n:5991	Standard
UP000005207	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	8128	74622	C:97.3%[S:46.0%,D:51.3%],F:1.0%,M:1.7%,n:3640	Outlier (high value)
UP000005215	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	25333	C:92.9%[S:69.9%,D:23.0%],F:1.8%,M:5.3%,n:13798	Standard
UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	19931	C:92.5%[S:89.4%,D:3.1%],F:1.8%,M:5.8%,n:13780	Standard
UP000005226	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	31033	51078	C:92.8%[S:49.9%,D:42.9%],F:1.6%,M:5.6%,n:3640	Outlier (high value)
UP000005408	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	29159	25998	C:80.4%[S:79.4%,D:1.1%],F:4.2%,M:15.4%,n:5295	Unknown
UP000005447	Cavia porcellus (Guinea pig)	10141	25053	C:92.6%[S:70.2%,D:22.3%],F:1.6%,M:5.8%,n:13798	Standard
UP000006672	Brugia malayi (Filarial nematode worm)	6279	15190	C:3.1%[S:2.9%,D:0.3%],F:0.1%,M:96.8%,n:3131	Standard
UP000006718	Macaca mulatta (Rhesus macaque)	9544	44389	C:97.6%[S:42.9%,D:54.7%],F:0.3%,M:2.1%,n:13780	Outlier (high value)
UP000006813	Heterocephalus glaber (Naked mole rat)	10181	21449	C:84.6%[S:83.0%,D:1.6%],F:4.2%,M:11.2%,n:13798	Standard
UP000007062	Anopheles gambiae (African malaria mosquito)	7165	14163	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:3285	Outlier (high value)
UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	34417	C:99.4%[S:61.6%,D:37.7%],F:0.3%,M:0.3%,n:954	Unknown
UP000007151	Danaus plexippus plexippus	278856	15140	C:93.0%[S:91.5%,D:1.5%],F:2.8%,M:4.2%,n:5286	Outlier (high value)
UP000007267	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	13735	20509	C:91.2%[S:77.1%,D:14.1%],F:3.7%,M:5.1%,n:7480	Unknown
UP000007303	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	99883	23074	C:83.1%[S:72.1%,D:11.0%],F:5.5%,M:11.4%,n:3640	Standard
UP000007635	Gasterosteus aculeatus (Three-spined stickleback)	69293	27249	C:88.9%[S:67.3%,D:21.6%],F:4.1%,M:7.0%,n:3640	Standard
UP000007646	Loxodonta africana (African elephant)	9785	25615	C:91.5%[S:70.4%,D:21.1%],F:3.2%,M:5.3%,n:11366	Standard
UP000007648	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	9305	36286	C:91.1%[S:47.3%,D:43.7%],F:1.6%,M:7.4%,n:9226	Standard
UP000007754	Taeniopygia guttata (Zebra finch) (Poephila guttata)	59729	31341	C:95.0%[S:49.3%,D:45.7%],F:1.0%,M:4.0%,n:10844	Outlier (high value)
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	13962	C:89.5%[S:89.1%,D:0.4%],F:3.8%,M:6.7%,n:5991	Standard
UP000007798	Drosophila willistoni (Fruit fly)	7260	14819	C:99.0%[S:90.7%,D:8.3%],F:0.3%,M:0.7%,n:3285	Outlier (high value)
UP000007801	Drosophila ananassae (Fruit fly)	7217	19363	C:99.5%[S:74.8%,D:24.7%],F:0.1%,M:0.4%,n:3285	Outlier (high value)
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	20004	C:68.3%[S:51.5%,D:16.9%],F:6.2%,M:25.5%,n:954	Unknown
UP000007879	Amphimedon queenslandica (Sponge)	400682	43437	C:89.8%[S:84.4%,D:5.5%],F:4.2%,M:6.0%,n:954	Unknown
UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	29982	C:94.7%[S:67.1%,D:27.6%],F:1.6%,M:3.7%,n:3131	Outlier (high value)
UP000008143	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	37716	C:96.9%[S:47.7%,D:49.2%],F:0.5%,M:2.6%,n:5310	Unknown
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	17311	C:78.7%[S:74.9%,D:3.8%],F:6.4%,M:14.9%,n:954	Unknown
UP000008225	Callithrix jacchus (White-tufted-ear marmoset)	9483	48340	C:96.0%[S:46.4%,D:49.5%],F:0.4%,M:3.6%,n:13780	Outlier (high value)
UP000008227	Sus scrofa (Pig)	9823	49793	C:95.6%[S:38.3%,D:57.4%],F:0.7%,M:3.7%,n:13335	Outlier (high value)
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	15029	C:87.2%[S:86.8%,D:0.4%],F:6.0%,M:6.8%,n:5991	Standard
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	31252	C:98.8%[S:96.0%,D:2.8%],F:0.9%,M:0.4%,n:3131	Outlier (high value)
UP000008672	Latimeria chalumnae (Coelacanth)	7897	23431	C:89.2%[S:70.1%,D:19.1%],F:4.6%,M:6.3%,n:3354	Unknown
UP000008744	Drosophila persimilis (Fruit fly)	7234	16754	C:88.8%[S:87.9%,D:0.9%],F:5.0%,M:6.2%,n:3285	Outlier (high value)
UP000008792	Drosophila virilis (Fruit fly)	7244	18316	C:99.2%[S:72.7%,D:26.5%],F:0.2%,M:0.5%,n:3285	Outlier (high value)
UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	18209	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:3285	Outlier (high value)
UP000008854	Schistosoma mansoni (Blood fluke)	6183	14181	C:80.3%[S:28.8%,D:51.5%],F:1.9%,M:17.8%,n:954	Unknown
UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	38536	C:95.0%[S:54.1%,D:40.9%],F:1.0%,M:4.0%,n:14502	Outlier (high value)
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	11520	C:89.3%[S:88.7%,D:0.6%],F:4.6%,M:6.1%,n:954	Unknown
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	10776	C:95.8%[S:95.5%,D:0.4%],F:2.0%,M:2.1%,n:1367	Standard
UP000009192	Drosophila mojavensis (Fruit fly)	7230	18165	C:99.3%[S:73.3%,D:26.1%],F:0.2%,M:0.4%,n:3285	Outlier (high value)
UP000010552	Pteropus alecto (Black flying fox)	9402	19521	C:81.7%[S:81.4%,D:0.3%],F:5.6%,M:12.7%,n:12234	Standard
UP000010556	Myotis davidii (David's myotis)	225400	15446	C:57.0%[S:56.5%,D:0.5%],F:7.1%,M:35.9%,n:12234	Standard
UP000011080	Bos mutus (wild yak)	72004	18553	C:84.2%[S:83.7%,D:0.4%],F:2.2%,M:13.7%,n:13335	Standard
UP000011518	Tupaia chinensis (Chinese tree shrew)	246437	20824	C:65.1%[S:64.3%,D:0.7%],F:9.1%,M:25.8%,n:12692	Standard
UP000011712	Felis catus (Cat) (Felis silvestris catus)	9685	40213	C:96.8%[S:53.3%,D:43.5%],F:0.5%,M:2.6%,n:14502	Outlier (high value)
UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	14972	C:92.4%[S:89.2%,D:3.2%],F:1.6%,M:6.0%,n:1013	Unknown
UP000014760	Capitella teleta (Polychaete worm)	283909	31857	C:95.0%[S:90.8%,D:4.2%],F:2.8%,M:2.2%,n:954	Unknown
UP000015101	Helobdella robusta (Californian leech)	6412	23328	C:90.3%[S:89.2%,D:1.0%],F:4.6%,M:5.1%,n:954	Unknown
UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	11463	C:19.5%[S:19.2%,D:0.3%],F:17.3%,M:63.3%,n:3285	Standard
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14771	C:91.3%[S:89.9%,D:1.4%],F:3.9%,M:4.8%,n:2510	Standard
UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	17526	C:90.3%[S:84.0%,D:6.3%],F:1.0%,M:8.7%,n:2934	Standard
UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	28852	C:92.7%[S:51.2%,D:41.4%],F:2.0%,M:5.3%,n:10844	Outlier (high value)
UP000016666	Anas platyrhynchos platyrhynchos (Northern mallard)	8840	27053	C:89.7%[S:56.6%,D:33.1%],F:3.6%,M:6.6%,n:8338	Outlier (high value)
UP000018467	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	7994	39383	C:95.7%[S:62.8%,D:32.9%],F:1.8%,M:2.6%,n:3640	Standard
UP000018468	Lepisosteus oculatus (Spotted gar)	7918	22463	C:92.8%[S:73.2%,D:19.6%],F:3.3%,M:3.9%,n:3640	Standard
UP000018936	Ophiophagus hannah (King cobra) (Naja hannah)	8665	18387	C:59.3%[S:58.8%,D:0.5%],F:8.5%,M:32.2%,n:7480	Unknown
UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	11279	C:69.2%[S:67.9%,D:1.3%],F:5.7%,M:25.2%,n:954	Unknown
UP000024635	Ancylostoma ceylanicum	53326	65375	C:87.8%[S:38.7%,D:49.1%],F:5.6%,M:6.6%,n:3131	Outlier (high value)
UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	14539	C:94.0%[S:93.2%,D:0.8%],F:1.6%,M:4.4%,n:1367	Standard
UP000028760	Poecilia formosa (Amazon molly) (Limia formosa)	48698	30440	C:93.5%[S:73.3%,D:20.2%],F:2.1%,M:4.4%,n:15213	Standard
UP000028761	Papio anubis (Olive baboon)	9555	43406	C:96.4%[S:53.3%,D:43.1%],F:0.5%,M:3.1%,n:13780	Outlier (high value)
UP000028990	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	885580	20406	C:76.9%[S:76.3%,D:0.6%],F:4.7%,M:18.5%,n:13798	Standard
UP000029965	Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)	60711	19229	C:94.0%[S:93.1%,D:0.8%],F:2.2%,M:3.9%,n:13780	Standard
UP000030684	Camelus ferus (Wild bactrian camel) (Camelus bactrianus ferus)	419612	20003	C:49.2%[S:48.2%,D:1.0%],F:11.3%,M:39.5%,n:13335	Standard
UP000030742	Dendroctonus ponderosae (Mountain pine beetle)	77166	12251	C:88.0%[S:82.2%,D:5.8%],F:5.2%,M:6.8%,n:2124	Standard
UP000030746	Lottia gigantea (Giant owl limpet)	225164	23675	C:88.3%[S:87.6%,D:0.7%],F:7.6%,M:4.1%,n:5295	Outlier (high value)
UP000030765	Anopheles sinensis (Mosquito)	74873	19343	C:87.3%[S:86.7%,D:0.6%],F:3.0%,M:9.6%,n:3285	Outlier (high value)
UP000031036	Toxocara canis (Canine roundworm)	6265	18499	C:87.7%[S:85.2%,D:2.5%],F:3.6%,M:8.7%,n:3131	Close to standard (high value)
UP000031443	Chelonia mydas (Green sea-turtle) (Chelonia agassizi)	8469	18960	C:69.6%[S:68.9%,D:0.7%],F:8.6%,M:21.8%,n:7480	Unknown
UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	8897	147	C:0.1%[S:0.1%,D:0.0%],F:0.1%,M:99.7%,n:8338	Outlier (low value)
UP000034805	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	113540	24200	C:80.6%[S:77.6%,D:3.0%],F:8.4%,M:11.0%,n:3640	Standard
UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	14506	C:68.2%[S:67.5%,D:0.7%],F:10.2%,M:21.6%,n:3131	Standard
UP000035680	Strongyloides venezuelensis (Threadworm)	75913	16626	C:68.9%[S:65.5%,D:3.4%],F:1.0%,M:30.2%,n:3131	Standard
UP000035681	Strongyloides stercoralis (Threadworm)	6248	12853	C:69.9%[S:67.3%,D:2.6%],F:0.8%,M:29.3%,n:3131	Standard
UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	12456	C:61.4%[S:59.7%,D:1.7%],F:0.8%,M:37.8%,n:3131	Standard
UP000036403	Lasius niger (Black garden ant)	67767	18044	C:64.1%[S:63.5%,D:0.6%],F:18.1%,M:17.8%,n:5991	Outlier (high value)
UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	14353	C:89.3%[S:87.5%,D:1.7%],F:1.2%,M:9.5%,n:3285	Standard
UP000037510	Operophtera brumata (winter moth)	104452	16814	C:85.0%[S:82.8%,D:2.2%],F:9.8%,M:5.2%,n:5286	Standard
UP000050525	Alligator mississippiensis (American alligator)	8496	31974	C:87.2%[S:66.4%,D:20.8%],F:4.3%,M:8.5%,n:7480	Unknown
UP000051574	Oryctes borbonicus	1629725	8820	C:59.8%[S:59.2%,D:0.6%],F:15.6%,M:24.6%,n:2124	Standard
UP000051836	Amazona aestiva (Blue-fronted Amazon parrot)	12930	16092	C:85.9%[S:85.4%,D:0.5%],F:4.4%,M:9.7%,n:8338	Close to standard (high value)
UP000052967	Merops nubicus (Northern carmine bee-eater)	57421	7657	C:46.0%[S:45.8%,D:0.2%],F:5.0%,M:49.0%,n:8338	Outlier (low value)
UP000052976	Corvus brachyrhynchos (American crow)	85066	13621	C:75.7%[S:75.3%,D:0.3%],F:4.5%,M:19.8%,n:10844	Standard
UP000052978	Myotis brandtii (Brandt's bat)	109478	19243	C:72.8%[S:71.4%,D:1.4%],F:6.8%,M:20.3%,n:12234	Standard
UP000053001	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	188344	9574	C:57.3%[S:57.1%,D:0.2%],F:4.7%,M:38.0%,n:8338	Close to standard (low value)
UP000053097	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	16497	C:94.1%[S:93.6%,D:0.6%],F:3.1%,M:2.8%,n:5991	Outlier (high value)
UP000053105	Melipona quadrifasciata	166423	14253	C:87.2%[S:87.0%,D:0.2%],F:4.4%,M:8.4%,n:5991	Standard
UP000053119	Egretta garzetta (Little egret)	188379	13489	C:78.4%[S:78.1%,D:0.3%],F:3.4%,M:18.2%,n:8338	Close to standard (high value)
UP000053149	Pterocles gutturalis (yellow-throated sandgrouse)	240206	7373	C:44.2%[S:44.1%,D:0.1%],F:4.5%,M:51.2%,n:8338	Outlier (low value)
UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	9209	8990	C:56.9%[S:56.8%,D:0.2%],F:6.0%,M:37.1%,n:8338	Close to standard (low value)
UP000053258	Manacus vitellinus (golden-collared manakin)	328815	12707	C:71.2%[S:70.9%,D:0.3%],F:4.7%,M:24.0%,n:10844	Close to standard (low value)
UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	128390	14132	C:81.7%[S:81.3%,D:0.4%],F:3.7%,M:14.6%,n:8338	Close to standard (high value)
UP000053286	Aptenodytes forsteri (Emperor penguin)	9233	13704	C:83.5%[S:83.2%,D:0.3%],F:3.6%,M:12.9%,n:8338	Standard
UP000053309	Balearica regulorum gibbericeps (East African grey crowned-crane)	100784	8821	C:54.5%[S:54.4%,D:0.1%],F:4.4%,M:41.1%,n:8338	Close to standard (low value)
UP000053330	Chlamydotis macqueenii (Macqueen's bustard)	187382	8277	C:51.8%[S:51.6%,D:0.2%],F:4.6%,M:43.5%,n:8338	Outlier (low value)
UP000053369	Mesitornis unicolor (brown roatelo)	54374	9395	C:53.4%[S:53.2%,D:0.3%],F:5.2%,M:41.3%,n:8338	Close to standard (low value)
UP000053454	Octopus bimaculoides (California two-spotted octopus)	37653	36239	C:80.3%[S:65.3%,D:15.0%],F:7.6%,M:12.2%,n:5295	Unknown
UP000053537	Acanthisitta chloris (rifleman)	57068	9650	C:51.1%[S:50.9%,D:0.1%],F:6.6%,M:42.3%,n:10844	Outlier (low value)
UP000053584	Struthio camelus australis	441894	13815	C:78.5%[S:78.0%,D:0.5%],F:3.3%,M:18.2%,n:8338	Close to standard (high value)
UP000053605	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	30419	12773	C:77.8%[S:77.5%,D:0.3%],F:3.9%,M:18.3%,n:8338	Standard
UP000053615	Colius striatus (Speckled mousebird)	57412	7080	C:40.8%[S:40.7%,D:0.2%],F:4.9%,M:54.2%,n:8338	Outlier (low value)
UP000053620	Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis)	279965	8957	C:51.9%[S:51.7%,D:0.2%],F:5.7%,M:42.4%,n:8338	Close to standard (low value)
UP000053638	Phaethon lepturus (White-tailed tropicbird)	97097	9152	C:54.8%[S:54.5%,D:0.3%],F:4.5%,M:40.7%,n:8338	Close to standard (low value)
UP000053641	Tinamus guttatus (White-throated tinamou)	94827	13377	C:74.7%[S:74.0%,D:0.6%],F:5.7%,M:19.6%,n:8338	Standard
UP000053660	Oesophagostomum dentatum (Nodular worm)	61180	25133	C:47.5%[S:42.6%,D:4.9%],F:15.6%,M:37.0%,n:3131	Outlier (high value)
UP000053661	Tauraco erythrolophus (Red-crested turaco)	121530	10099	C:57.6%[S:57.4%,D:0.2%],F:4.8%,M:37.6%,n:8338	Close to standard (low value)
UP000053676	Necator americanus (Human hookworm)	51031	19125	C:84.0%[S:83.6%,D:0.4%],F:12.4%,M:3.6%,n:3131	Standard
UP000053700	Phoenicopterus ruber ruber	9218	8220	C:48.2%[S:48.0%,D:0.1%],F:5.7%,M:46.2%,n:8338	Outlier (low value)
UP000053709	Trichuris suis (pig whipworm)	68888	3288	C:15.5%[S:15.3%,D:0.2%],F:1.1%,M:83.4%,n:3131	Unknown
UP000053745	Cathartes aura (Turkey vulture) (Vultur aura)	43455	7760	C:41.9%[S:41.8%,D:0.1%],F:5.8%,M:52.3%,n:8338	Outlier (low value)
UP000053760	Cuculus canorus (common cuckoo)	55661	13582	C:82.2%[S:81.9%,D:0.3%],F:3.6%,M:14.2%,n:8338	Standard
UP000053766	Dictyocaulus viviparus (Bovine lungworm)	29172	14161	C:75.1%[S:74.4%,D:0.7%],F:7.1%,M:17.8%,n:3131	Standard
UP000053806	Fulmarus glacialis (Northern fulmar)	30455	8115	C:48.2%[S:48.0%,D:0.2%],F:4.4%,M:47.4%,n:8338	Outlier (low value)
UP000053840	Nestor notabilis (Kea)	176057	9137	C:56.4%[S:56.2%,D:0.2%],F:4.4%,M:39.2%,n:8338	Close to standard (low value)
UP000053854	Podiceps cristatus (Great crested grebe)	345573	7899	C:44.9%[S:44.8%,D:0.1%],F:5.9%,M:49.2%,n:8338	Outlier (low value)
UP000053858	Charadrius vociferus (Killdeer) (Aegialitis vocifera)	50402	14257	C:82.1%[S:81.8%,D:0.3%],F:3.7%,M:14.2%,n:8338	Close to standard (high value)
UP000053872	Columba livia (Rock dove)	8932	17309	C:93.3%[S:80.7%,D:12.6%],F:3.4%,M:3.3%,n:8338	Outlier (high value)
UP000053875	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	118200	13097	C:79.0%[S:78.7%,D:0.3%],F:3.9%,M:17.2%,n:8338	Standard
UP000054047	Ancylostoma duodenale	51022	27403	C:51.1%[S:47.9%,D:3.2%],F:14.9%,M:34.0%,n:3131	Outlier (high value)
UP000054064	Buceros rhinoceros silvestris	175836	10603	C:65.7%[S:65.5%,D:0.2%],F:5.7%,M:28.5%,n:8338	Close to standard (low value)
UP000054081	Pygoscelis adeliae (Adelie penguin)	9238	12848	C:81.4%[S:81.2%,D:0.2%],F:3.7%,M:14.8%,n:8338	Standard
UP000054116	Cariama cristata (Red-legged seriema)	54380	8694	C:53.0%[S:52.9%,D:0.1%],F:4.9%,M:42.1%,n:8338	Outlier (low value)
UP000054150	Pelecanus crispus (Dalmatian pelican)	36300	8686	C:51.1%[S:50.9%,D:0.2%],F:4.9%,M:44.0%,n:8338	Close to standard (low value)
UP000054190	Tyto alba (Barn owl)	56313	9263	C:56.4%[S:56.1%,D:0.2%],F:5.6%,M:38.0%,n:8338	Close to standard (low value)
UP000054232	Eurypyga helias (Sunbittern) (Ardea helias)	54383	7979	C:45.9%[S:45.7%,D:0.2%],F:4.9%,M:49.2%,n:8338	Outlier (low value)
UP000054244	Apaloderma vittatum (Bar-tailed trogon)	57397	7903	C:48.4%[S:48.1%,D:0.3%],F:4.2%,M:47.4%,n:8338	Outlier (low value)
UP000054308	Calypte anna (Anna's hummingbird) (Archilochus anna)	9244	13267	C:79.9%[S:79.6%,D:0.3%],F:3.6%,M:16.4%,n:8338	Standard
UP000054313	Gavia stellata (Red-throated diver) (Colymbus stellatus)	37040	7730	C:48.1%[S:47.9%,D:0.2%],F:4.7%,M:47.2%,n:8338	Outlier (low value)
UP000054324	Opisthorchis viverrini	6198	16307	C:64.8%[S:63.7%,D:1.0%],F:8.1%,M:27.1%,n:954	Unknown
UP000054379	Haliaeetus albicilla (White-tailed sea-eagle) (Falco albicilla)	8969	8357	C:51.1%[S:51.0%,D:0.1%],F:4.4%,M:44.5%,n:8338	Outlier (low value)
UP000054630	Trichinella nelsoni	6336	16597	C:68.1%[S:41.7%,D:26.3%],F:0.6%,M:31.3%,n:3131	Unknown
UP000054653	Trichinella britovi (Parasitic roundworm)	45882	19931	C:68.1%[S:39.5%,D:28.6%],F:0.5%,M:31.4%,n:3131	Unknown
UP000054673	Trichinella sp. T6	92179	18636	C:67.8%[S:40.3%,D:27.5%],F:0.7%,M:31.6%,n:3131	Unknown
UP000054681	Trichinella sp. T9	181606	17770	C:64.7%[S:37.3%,D:27.4%],F:0.7%,M:34.6%,n:3131	Unknown
