Orthogroup	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt
OG0001381	lcl|NC_004354.4_cds_NP_569838.1_48	lcl|NW_020825322.1_cds_XP_002023463.1_13948	lcl|NC_046683.1_cds_XP_001354780.2_19250	lcl|NC_045954.1_cds_XP_002040216.1_19775	lcl|NC_052525.2_cds_XP_016037515.1_21667	lcl|NC_048530.1_cds_XP_034670800.1_206
OG0001382	lcl|NC_004354.4_cds_NP_525029.2_49	lcl|NW_020825322.1_cds_XP_002023465.1_13947	lcl|NC_046683.1_cds_XP_033239547.1_19249	lcl|NC_045954.1_cds_XP_002040217.1_19776	lcl|NC_052525.2_cds_XP_002105808.2_21668	lcl|NC_048530.1_cds_XP_034654997.1_205
OG0001383	lcl|NC_004354.4_cds_NP_726662.1_50	lcl|NW_020825322.1_cds_XP_026846335.1_13946	lcl|NC_046683.1_cds_XP_001354782.6_19244	lcl|NC_045954.1_cds_XP_032581829.1_19777	lcl|NC_052525.2_cds_XP_016037516.1_21669	lcl|NC_048530.1_cds_XP_034669296.1_203
OG0001384	lcl|NC_004354.4_cds_NP_569839.2_56	lcl|NW_020825322.1_cds_XP_026846334.1_13945	lcl|NC_046683.1_cds_XP_033239192.1_19241	lcl|NC_045954.1_cds_XP_032581313.1_19781	lcl|NC_052525.2_cds_XP_039152876.1_21673	lcl|NC_048530.1_cds_XP_034654345.1_201
OG0001385	lcl|NC_004354.4_cds_NP_001245446.1_62	lcl|NW_020825322.1_cds_XP_002023470.1_13944	lcl|NC_046683.1_cds_XP_033239928.1_19240	lcl|NC_045954.1_cds_XP_002040221.1_19784	lcl|NC_052525.2_cds_XP_016037523.1_21677	lcl|NC_048530.1_cds_XP_034654333.1_199
OG0001386	lcl|NC_004354.4_cds_NP_476792.1_63	lcl|NW_020825322.1_cds_XP_026846233.1_13943	lcl|NC_046683.1_cds_XP_001354783.2_19239	lcl|NC_045954.1_cds_XP_032581877.1_19785	lcl|NC_052525.2_cds_XP_016037524.1_21678	lcl|NC_048530.1_cds_XP_034654309.1_198
OG0001387	lcl|NC_004354.4_cds_NP_476824.1_64	lcl|NW_020825322.1_cds_XP_002023472.1_13942	lcl|NC_046683.1_cds_XP_001354784.2_19238	lcl|NC_045954.1_cds_XP_002040223.1_19786	lcl|NC_052525.2_cds_XP_039152882.1_21679	lcl|NC_048530.1_cds_XP_034656369.1_196
OG0001388	lcl|NC_004354.4_cds_NP_476803.1_65	lcl|NW_020825322.1_cds_XP_026846338.1_13941	lcl|NC_046683.1_cds_XP_002134089.3_19237	lcl|NC_045954.1_cds_XP_002040224.2_19787	lcl|NC_052525.2_cds_XP_016037526.1_21680	lcl|NC_048530.1_cds_XP_034652310.1_195
OG0001389	lcl|NC_004354.4_cds_NP_476623.1_66	lcl|NW_020825322.1_cds_XP_002023475.1_13940	lcl|NC_046683.1_cds_XP_001354785.2_19236	lcl|NC_045954.1_cds_XP_032581108.1_19788	lcl|NC_052525.2_cds_XP_016037527.1_21681	lcl|NC_048530.1_cds_XP_034653404.1_194
OG0001390	lcl|NC_004354.4_cds_NP_476694.1_68	lcl|NW_020825322.1_cds_XP_002023478.2_13938	lcl|NC_046683.1_cds_XP_001354786.3_19234	lcl|NC_045954.1_cds_XP_032582084.1_19790	lcl|NC_052525.2_cds_XP_016037529.1_21683	lcl|NC_048530.1_cds_XP_034651049.1_192
OG0001391	lcl|NC_004354.4_cds_NP_525031.1_69	lcl|NW_020825322.1_cds_XP_026846117.1_13937	lcl|NC_046683.1_cds_XP_001354787.1_19233	lcl|NC_045954.1_cds_XP_032581293.1_19791	lcl|NC_052525.2_cds_XP_002076787.1_21684	lcl|NC_048530.1_cds_XP_034649988.1_191
OG0001392	lcl|NC_004354.4_cds_NP_001284739.1_71	lcl|NW_020825322.1_cds_XP_026846227.1_13935	lcl|NC_046683.1_cds_XP_033237733.1_19231	lcl|NC_045954.1_cds_XP_002040229.2_19793	lcl|NC_052525.2_cds_XP_016037530.1_21686	lcl|NC_048530.1_cds_XP_034649987.1_190
OG0001393	lcl|NC_004354.4_cds_NP_569843.2_82	lcl|NW_020825322.1_cds_XP_002023481.2_13932	lcl|NC_046683.1_cds_XP_002134092.2_19229	lcl|NC_045954.1_cds_XP_002040234.2_19800	lcl|NC_052525.2_cds_XP_016037533.1_21690	lcl|NC_048530.1_cds_XP_034665987.1_1273
OG0001394	lcl|NC_004354.4_cds_NP_569844.2_83	lcl|NW_020825322.1_cds_XP_002023482.2_13931	lcl|NC_046683.1_cds_XP_001354790.2_19228	lcl|NC_045954.1_cds_XP_032582588.1_19801	lcl|NC_052525.2_cds_XP_002105820.2_21691	lcl|NC_048530.1_cds_XP_034666159.1_1272
OG0001395	lcl|NC_004354.4_cds_NP_569845.2_84	lcl|NW_020825322.1_cds_XP_026846124.1_13930	lcl|NC_046683.1_cds_XP_001354791.1_19227	lcl|NC_045954.1_cds_XP_002040236.1_19802	lcl|NC_052525.2_cds_XP_016037536.2_21692	lcl|NC_048530.1_cds_XP_034666405.1_1271
OG0001396	lcl|NC_004354.4_cds_NP_569846.2_86	lcl|NW_020825322.1_cds_XP_026846288.1_13928	lcl|NC_046683.1_cds_XP_033237348.1_19225	lcl|NC_045954.1_cds_XP_002040237.2_19803	lcl|NC_052525.2_cds_XP_016037537.1_21693	lcl|NC_048530.1_cds_XP_034667995.1_1270
OG0001397	lcl|NC_004354.4_cds_NP_996319.1_92	lcl|NW_020825322.1_cds_XP_002023486.1_13925	lcl|NC_046683.1_cds_XP_015041665.2_19222	lcl|NC_045954.1_cds_XP_032582562.1_19805	lcl|NC_052525.2_cds_XP_002105822.2_21695	lcl|NC_048530.1_cds_XP_034665851.1_1268
OG0001398	lcl|NC_004354.4_cds_NP_524875.1_99	lcl|NW_020825322.1_cds_XP_002023487.2_13920	lcl|NC_046683.1_cds_XP_001354794.2_19216	lcl|NC_045954.1_cds_XP_002040240.1_19807	lcl|NC_052525.2_cds_XP_002105823.1_21696	lcl|NC_048530.1_cds_XP_034667196.1_1262
OG0001399	lcl|NC_004354.4_cds_NP_525033.1_100	lcl|NW_020825322.1_cds_XP_026846353.1_13922	lcl|NC_046683.1_cds_XP_033239771.1_19217	lcl|NC_045954.1_cds_XP_032582589.1_19808	lcl|NC_052525.2_cds_XP_016037541.1_21697	lcl|NC_048530.1_cds_XP_034666524.1_1263
OG0001400	lcl|NC_004354.4_cds_NP_569847.1_105	lcl|NW_020825322.1_cds_XP_002023489.1_13919	lcl|NC_046683.1_cds_XP_001354796.2_19215	lcl|NC_045954.1_cds_XP_032582594.1_19812	lcl|NC_052525.2_cds_XP_002105825.1_21703	lcl|NC_048530.1_cds_XP_034667084.1_1261
OG0001401	lcl|NC_004354.4_cds_NP_001245448.1_112	lcl|NW_020825338.1_cds_XP_026847727.1_16318	lcl|NC_046683.1_cds_XP_015041414.2_20087	lcl|NC_045954.1_cds_XP_032582572.1_19813	lcl|NC_052525.2_cds_XP_016037545.2_21704	lcl|NC_048530.1_cds_XP_034671221.1_2959
OG0001402	lcl|NC_004354.4_cds_NP_476786.2_116	lcl|NW_020825338.1_cds_XP_002027784.1_16312	lcl|NC_046683.1_cds_XP_001354499.3_20079	lcl|NC_045954.1_cds_XP_002040244.2_19829	lcl|NC_052525.2_cds_XP_002105828.1_21719	lcl|NC_048530.1_cds_XP_034662584.1_2951
OG0001403	lcl|NC_004354.4_cds_NP_569849.1_124	lcl|NW_020825338.1_cds_XP_002027781.2_16308	lcl|NC_046683.1_cds_XP_001354501.1_20074	lcl|NC_045954.1_cds_XP_002040246.1_19833	lcl|NC_052525.2_cds_XP_016037563.1_21724	lcl|NC_048530.1_cds_XP_034659341.1_2946
OG0001404	lcl|NC_004354.4_cds_NP_525034.2_125	lcl|NW_020825338.1_cds_XP_026847726.1_16306	lcl|NC_046683.1_cds_XP_001354502.2_20072	lcl|NC_045954.1_cds_XP_032582595.1_19834	lcl|NC_052525.2_cds_XP_016037564.1_21725	lcl|NC_048530.1_cds_XP_034659296.1_2945
OG0001405	lcl|NC_004354.4_cds_NP_569850.1_131	lcl|NW_020825338.1_cds_XP_002027779.2_16305	lcl|NC_046683.1_cds_XP_001354503.2_20071	lcl|NC_045954.1_cds_XP_002040248.1_19838	lcl|NC_052525.2_cds_XP_002105832.2_21727	lcl|NC_048530.1_cds_XP_034659282.1_2944
OG0001406	lcl|NC_004354.4_cds_NP_652500.1_132	lcl|NW_020825317.1_cds_XP_002022043.1_13698	lcl|NC_046683.1_cds_XP_002134613.1_21246	lcl|NC_045954.1_cds_XP_002040249.1_19839	lcl|NC_052525.2_cds_XP_016037566.1_21728	lcl|NC_048530.1_cds_XP_034666425.1_849
OG0001407	lcl|NC_004354.4_cds_NP_652054.1_133	lcl|NW_020825361.1_cds_XP_026849307.1_18686	lcl|NC_046683.1_cds_XP_001355138.3_17967	lcl|NC_045954.1_cds_XP_032582593.1_19840	lcl|NC_052525.2_cds_XP_016037567.1_21729	lcl|NC_048530.1_cds_XP_034671662.1_3191
OG0001408	lcl|NC_004354.4_cds_NP_476593.2_141	lcl|NW_020825359.1_cds_XP_002025137.1_18570	lcl|NC_046683.1_cds_XP_002133707.2_17499	lcl|NC_045954.1_cds_XP_032582554.1_19843	lcl|NC_052525.2_cds_XP_016037572.1_21731	lcl|NC_048530.1_cds_XP_034670820.1_2014
OG0001409	lcl|NC_004354.4_cds_NP_477249.3_143	lcl|NW_020825359.1_cds_XP_026849158.1_18571	lcl|NC_046683.1_cds_XP_001355567.1_17500	lcl|NC_045954.1_cds_XP_002040253.1_19844	lcl|NC_052525.2_cds_XP_016037573.1_21732	lcl|NC_048530.1_cds_XP_034670838.1_2013
OG0001410	lcl|NC_004354.4_cds_NP_476754.1_146	lcl|NW_020825359.1_cds_XP_002025139.1_18572	lcl|NC_046683.1_cds_XP_001355566.3_17502	lcl|NC_045954.1_cds_XP_032582552.1_19846	lcl|NC_052525.2_cds_XP_016037575.1_21734	lcl|NC_048530.1_cds_XP_034670817.1_2011
OG0001411	lcl|NC_004354.4_cds_NP_569851.2_149	lcl|NW_020825326.1_cds_XP_002025206.2_14723	lcl|NC_046683.1_cds_XP_001355266.2_20624	lcl|NC_045954.1_cds_XP_002040255.1_19848	lcl|NC_052525.2_cds_XP_002105837.1_21737	lcl|NC_048530.1_cds_XP_034667871.1_973
OG0001412	lcl|NC_004354.4_cds_NP_001138143.2_150	lcl|NW_020825326.1_cds_XP_002025205.2_14722	lcl|NC_046683.1_cds_XP_002133392.2_20625	lcl|NC_045954.1_cds_XP_002040256.1_19849	lcl|NC_052525.2_cds_XP_002105838.1_21738	lcl|NC_048530.1_cds_XP_034650140.1_974
OG0001413	lcl|NC_004354.4_cds_NP_569853.1_153	lcl|NW_020825326.1_cds_XP_026846708.1_14721	lcl|NC_046683.1_cds_XP_033239805.1_20628	lcl|NC_045954.1_cds_XP_002040257.1_19851	lcl|NC_052525.2_cds_XP_016037578.1_21740	lcl|NC_048530.1_cds_XP_034649984.1_976
OG0001414	lcl|NC_004354.4_cds_NP_001284756.1_164	lcl|NW_020825338.1_cds_XP_026847720.1_16325	lcl|NC_046683.1_cds_XP_015041398.2_20107	lcl|NC_045954.1_cds_XP_032581355.1_19858	lcl|NC_052525.2_cds_XP_039153022.1_21749	lcl|NC_048530.1_cds_XP_034671212.1_2968
OG0001415	lcl|NC_004354.4_cds_NP_569854.1_173	lcl|NW_020825338.1_cds_XP_002027788.2_16323	lcl|NC_046683.1_cds_XP_001354495.3_20092	lcl|NC_045954.1_cds_XP_002040264.2_19865	lcl|NC_052525.2_cds_XP_002105845.1_21762	lcl|NC_048530.1_cds_XP_034671232.1_2962
OG0001416	lcl|NC_004354.4_cds_NP_569855.2_174	lcl|NW_020825338.1_cds_XP_002027787.2_16322	lcl|NC_046683.1_cds_XP_001354496.4_20091	lcl|NC_045954.1_cds_XP_002040265.2_19866	lcl|NC_052525.2_cds_XP_002105846.2_21763	lcl|NC_048530.1_cds_XP_034671230.1_2961
OG0001417	lcl|NC_004354.4_cds_NP_569856.2_175	lcl|NW_020825338.1_cds_XP_026847724.1_16320	lcl|NC_046683.1_cds_XP_001354497.2_20089	lcl|NC_045954.1_cds_XP_002040266.1_19867	lcl|NC_052525.2_cds_XP_039153057.1_21764	lcl|NC_048530.1_cds_XP_034671231.1_2960
OG0001418	lcl|NC_004354.4_cds_NP_569857.1_177	lcl|NW_020825324.1_cds_XP_026846523.1_14471	lcl|NC_046683.1_cds_XP_015041836.1_18620	lcl|NC_045954.1_cds_XP_002040267.2_19868	lcl|NC_052525.2_cds_XP_016037588.1_21766	lcl|NC_048530.1_cds_XP_034653158.1_3402
OG0001419	lcl|NC_004354.4_cds_NP_477134.1_180	lcl|NW_020825324.1_cds_XP_002022489.1_14470	lcl|NC_046683.1_cds_XP_001354962.2_18619	lcl|NC_045954.1_cds_XP_002040268.1_19869	lcl|NC_052525.2_cds_XP_039153050.1_21767	lcl|NC_048530.1_cds_XP_034653192.1_3403
OG0001420	lcl|NC_004354.4_cds_NP_001096859.1_183	lcl|NW_020825359.1_cds_XP_026849146.1_18539	lcl|NC_046683.1_cds_XP_001355581.3_17453	lcl|NC_045954.1_cds_XP_032581348.1_19871	lcl|NC_052525.2_cds_XP_016037590.1_21768	lcl|NC_048530.1_cds_XP_034664664.1_3264
OG0001421	lcl|NC_004354.4_cds_NP_569858.1_184	lcl|NW_020825359.1_cds_XP_002025115.1_18538	lcl|NC_046683.1_cds_XP_001355582.2_17452	lcl|NC_045954.1_cds_XP_032580932.1_19872	lcl|NC_052525.2_cds_XP_016037591.1_21770	lcl|NC_048530.1_cds_XP_034661046.1_3263
OG0001422	lcl|NC_004354.4_cds_NP_569859.1_186	lcl|NW_020825359.1_cds_XP_026849240.1_18537	lcl|NC_046683.1_cds_XP_001355583.2_17451	lcl|NC_045954.1_cds_XP_002040271.1_19873	lcl|NC_052525.2_cds_XP_016037593.1_21771	lcl|NC_048530.1_cds_XP_034661058.1_3261
OG0001423	lcl|NC_004354.4_cds_NP_525036.2_189	lcl|NW_020825317.1_cds_XP_002022039.1_13703	lcl|NC_046683.1_cds_XP_001354481.2_21252	lcl|NC_045954.1_cds_XP_032580931.1_19875	lcl|NC_052525.2_cds_XP_002105853.1_21773	lcl|NC_048530.1_cds_XP_034666389.1_853
OG0001424	lcl|NC_004354.4_cds_NP_569862.3_191	lcl|NW_020825317.1_cds_XP_026845950.1_13705	lcl|NC_046683.1_cds_XP_015042367.1_21254	lcl|NC_045954.1_cds_XP_032580934.1_19877	lcl|NC_052525.2_cds_XP_016037597.1_21775	lcl|NC_048530.1_cds_XP_034658276.1_854
OG0001425	lcl|NC_004354.4_cds_NP_001259103.1_192	lcl|NW_020825317.1_cds_XP_002022037.1_13706	lcl|NC_046683.1_cds_XP_001354483.2_21255	lcl|NC_045954.1_cds_XP_002040277.1_19879	lcl|NC_052525.2_cds_XP_002105856.1_21776	lcl|NC_048530.1_cds_XP_034672162.1_855
OG0001426	lcl|NC_004354.4_cds_NP_001284762.1_198	lcl|NW_020825317.1_cds_XP_026846012.1_13710	lcl|NC_046683.1_cds_XP_015042370.2_21262	lcl|NC_045954.1_cds_XP_032580918.1_19885	lcl|NC_052525.2_cds_XP_016037598.1_21777	lcl|NC_048530.1_cds_XP_034672149.1_862
OG0001427	lcl|NC_004354.4_cds_NP_569864.1_204	lcl|NW_020825317.1_cds_XP_002022033.1_13713	lcl|NC_046683.1_cds_XP_001354485.3_21268	lcl|NC_045954.1_cds_XP_002040278.1_19892	lcl|NC_052525.2_cds_XP_002105858.1_21778	lcl|NC_048530.1_cds_XP_034672163.1_868
OG0001428	lcl|NC_004354.4_cds_NP_001259114.1_211	lcl|NW_020825317.1_cds_XP_026845874.1_13716	lcl|NC_046683.1_cds_XP_001354489.4_21271	lcl|NC_045954.1_cds_XP_002040285.1_19899	lcl|NC_052525.2_cds_XP_016037606.2_21785	lcl|NC_048530.1_cds_XP_034671182.1_869
OG0001429	lcl|NC_004354.4_cds_NP_569871.2_214	lcl|NW_020825317.1_cds_XP_026845880.1_13718	lcl|NC_046683.1_cds_XP_001354490.4_21273	lcl|NC_045954.1_cds_XP_002040287.1_19901	lcl|NC_052525.2_cds_XP_002077540.3_21787	lcl|NC_048530.1_cds_XP_034671194.1_871
OG0001430	lcl|NC_004354.4_cds_NP_652634.1_215	lcl|NW_020825317.1_cds_XP_002022017.1_13719	lcl|NC_046683.1_cds_XP_001354491.2_21274	lcl|NC_045954.1_cds_XP_002040288.1_19902	lcl|NC_052525.2_cds_XP_016037608.2_21788	lcl|NC_048530.1_cds_XP_034671186.1_872
OG0001431	lcl|NC_004354.4_cds_NP_726709.2_216	lcl|NW_020825317.1_cds_XP_026845852.1_13720	lcl|NC_046683.1_cds_XP_002134627.3_21275	lcl|NC_045954.1_cds_XP_002040289.2_19903	lcl|NC_052525.2_cds_XP_016037609.1_21789	lcl|NC_048530.1_cds_XP_034671189.1_873
OG0001432	lcl|NC_004354.4_cds_NP_726710.1_218	lcl|NW_020825317.1_cds_XP_002022015.1_13721	lcl|NC_046683.1_cds_XP_001354492.1_21276	lcl|NC_045954.1_cds_XP_002040290.1_19904	lcl|NC_052525.2_cds_XP_016037610.1_21790	lcl|NC_048530.1_cds_XP_034671190.1_874
OG0001433	lcl|NC_004354.4_cds_NP_569872.1_223	lcl|NW_020825298.1_cds_XP_002015212.1_10981	lcl|NC_046681.1_cds_XP_002132790.2_15584	lcl|NC_045954.1_cds_XP_002040291.1_19905	lcl|NC_052525.2_cds_XP_016037611.1_21791	lcl|NC_048534.1_cds_XP_034669645.1_21378
OG0001434	lcl|NC_004354.4_cds_NP_569873.1_224	lcl|NW_020825317.1_cds_XP_002022014.1_13722	lcl|NC_046683.1_cds_XP_001354493.3_21277	lcl|NC_045954.1_cds_XP_002040292.1_19906	lcl|NC_052525.2_cds_XP_002105867.1_21792	lcl|NC_048530.1_cds_XP_034671188.1_875
OG0001435	lcl|NC_004354.4_cds_NP_569874.1_225	lcl|NW_020825317.1_cds_XP_002022013.1_13723	lcl|NC_046683.1_cds_XP_001354494.3_21278	lcl|NC_045954.1_cds_XP_002040293.2_19907	lcl|NC_052525.2_cds_XP_016037612.1_21793	lcl|NC_048530.1_cds_XP_034671183.1_876
OG0001436	lcl|NC_004354.4_cds_NP_569875.2_226	lcl|NW_020825317.1_cds_XP_002022012.1_13724	lcl|NC_046683.1_cds_XP_001355478.1_21279	lcl|NC_045954.1_cds_XP_002040295.1_19908	lcl|NC_052525.2_cds_XP_002105870.1_21794	lcl|NC_048530.1_cds_XP_034671193.1_878
OG0001437	lcl|NC_004354.4_cds_NP_569876.3_227	lcl|NW_020825317.1_cds_XP_026845960.1_13725	lcl|NC_046683.1_cds_XP_002133644.2_21280	lcl|NC_045954.1_cds_XP_032582255.1_19909	lcl|NC_052525.2_cds_XP_016037613.1_21795	lcl|NC_048530.1_cds_XP_034671185.1_879
OG0001438	lcl|NC_004354.4_cds_NP_569878.1_231	lcl|NW_020825317.1_cds_XP_026845951.1_13735	lcl|NC_046683.1_cds_XP_001355477.3_21295	lcl|NC_045954.1_cds_XP_002040300.1_19912	lcl|NC_052525.2_cds_XP_002076789.2_21798	lcl|NC_048530.1_cds_XP_034655457.1_882
OG0001439	lcl|NC_004354.4_cds_NP_569879.1_232	lcl|NW_020825317.1_cds_XP_026845994.1_13736	lcl|NC_046683.1_cds_XP_015041168.2_21296	lcl|NC_045954.1_cds_XP_032580622.1_19913	lcl|NC_052525.2_cds_XP_039153052.1_21799	lcl|NC_048530.1_cds_XP_034671766.1_883
OG0001440	lcl|NC_004354.4_cds_NP_652639.1_234	lcl|NW_020825317.1_cds_XP_002022042.1_13699	lcl|NC_046683.1_cds_XP_002134614.1_21248	lcl|NC_045954.1_cds_XP_002040303.1_19916	lcl|NC_052525.2_cds_XP_002105876.1_21802	lcl|NC_048530.1_cds_XP_034671765.1_889
OG0001441	lcl|NC_004354.4_cds_NP_569880.1_235	lcl|NW_020825317.1_cds_XP_026845904.1_13739	lcl|NC_046683.1_cds_XP_001355475.3_21303	lcl|NC_045954.1_cds_XP_002040304.1_19917	lcl|NC_052525.2_cds_XP_002105877.1_21803	lcl|NC_048530.1_cds_XP_034671763.1_888
OG0001442	lcl|NC_004354.4_cds_NP_788853.1_236	lcl|NW_020825317.1_cds_XP_002021997.1_13740	lcl|NC_046683.1_cds_XP_002133638.2_21304	lcl|NC_045954.1_cds_XP_002040305.1_19918	lcl|NC_052525.2_cds_XP_002105878.1_21804	lcl|NC_048530.1_cds_XP_034671770.1_887
OG0001443	lcl|NC_004354.4_cds_NP_651985.1_238	lcl|NW_020825317.1_cds_XP_026845905.1_13741	lcl|NC_046683.1_cds_XP_002133637.1_21305	lcl|NC_045954.1_cds_XP_002040306.1_19919	lcl|NC_052525.2_cds_XP_002105879.2_21805	lcl|NC_048530.1_cds_XP_034671764.1_886
OG0001444	lcl|NC_004354.4_cds_NP_476756.2_239	lcl|NW_020825317.1_cds_XP_026845848.1_13742	lcl|NC_046683.1_cds_XP_001355473.3_21306	lcl|NC_045954.1_cds_XP_032580617.1_19920	lcl|NC_052525.2_cds_XP_016037618.1_21806	lcl|NC_048530.1_cds_XP_034671761.1_890
OG0001445	lcl|NC_004354.4_cds_NP_001036256.2_246	lcl|NW_020825317.1_cds_XP_026845952.1_13745	lcl|NC_046683.1_cds_XP_002133636.2_21309	lcl|NC_045954.1_cds_XP_002040308.1_19924	lcl|NC_052525.2_cds_XP_002077172.2_21810	lcl|NC_048530.1_cds_XP_034671772.1_892
OG0001446	lcl|NC_004354.4_cds_NP_569881.1_248	lcl|NW_020825317.1_cds_XP_002021994.1_13746	lcl|NC_046683.1_cds_XP_001355472.1_21310	lcl|NC_045954.1_cds_XP_002040309.1_19925	lcl|NC_052525.2_cds_XP_002105880.1_21812	lcl|NC_048530.1_cds_XP_034671769.1_893
OG0001447	lcl|NC_004354.4_cds_NP_001259118.1_249	lcl|NW_020825317.1_cds_XP_002021991.1_13749	lcl|NC_046683.1_cds_XP_001355471.3_21313	lcl|NC_045954.1_cds_XP_002040310.1_19926	lcl|NC_052525.2_cds_XP_039153046.1_21813	lcl|NC_048530.1_cds_XP_034652999.1_895
OG0001448	lcl|NC_004354.4_cds_NP_569886.1_255	lcl|NW_020825317.1_cds_XP_026845954.1_13754	lcl|NC_046683.1_cds_XP_001355470.4_21320	lcl|NC_045954.1_cds_XP_002040315.1_19931	lcl|NC_052525.2_cds_XP_002105885.1_21817	lcl|NC_048530.1_cds_XP_034667582.1_903
OG0001449	lcl|NC_004354.4_cds_NP_569887.1_258	lcl|NW_020825317.1_cds_XP_026845978.1_13755	lcl|NC_046683.1_cds_XP_001355469.4_21321	lcl|NC_045954.1_cds_XP_002040316.1_19932	lcl|NC_052525.2_cds_XP_039153045.1_21818	lcl|NC_048530.1_cds_XP_034670105.1_904
OG0001450	lcl|NC_004354.4_cds_NP_569888.1_259	lcl|NW_020825317.1_cds_XP_002021982.1_13756	lcl|NC_046683.1_cds_XP_001355468.1_21322	lcl|NC_045954.1_cds_XP_032581370.1_19933	lcl|NC_052525.2_cds_XP_002076790.2_21819	lcl|NC_048530.1_cds_XP_034655066.1_905
OG0001451	lcl|NC_004354.4_cds_NP_569889.2_261	lcl|NW_020825317.1_cds_XP_002021981.1_13757	lcl|NC_046683.1_cds_XP_001355467.3_21323	lcl|NC_045954.1_cds_XP_032581020.1_19934	lcl|NC_052525.2_cds_XP_016037627.1_21820	lcl|NC_048530.1_cds_XP_034666596.1_906
OG0001452	lcl|NC_004354.4_cds_NP_569890.1_263	lcl|NW_020825317.1_cds_XP_026845955.1_13758	lcl|NC_046683.1_cds_XP_001355466.4_21324	lcl|NC_045954.1_cds_XP_032582017.1_19939	lcl|NC_052525.2_cds_XP_016037629.1_21821	lcl|NC_048530.1_cds_XP_034657580.1_907
OG0001453	lcl|NC_004354.4_cds_NP_569891.1_264	lcl|NW_020825317.1_cds_XP_026845899.1_13759	lcl|NC_046683.1_cds_XP_001355465.3_21325	lcl|NC_045954.1_cds_XP_002040319.1_19940	lcl|NC_052525.2_cds_XP_016037630.1_21823	lcl|NC_048530.1_cds_XP_034666583.1_908
